Feature,1009965,1009966,1009967,1009968,1009977,1009978,1009979,1009980,1010918,1010919,1010920,1010921,1010922,1010923,1010924,1010925,1012132,1012133,1012134,1012135,1012136,1012142,1012143,1012144,1012145,1012146,1013730,1013731,1013732,1013733,1013734,1013735,1013736,1013737,1013738,1014595,1014894,1014895,1014897,1014898,1014899,1014900,1014901,1014902,1014903,1014904,1014905,1014906,1014907,1014908,1014909,1014910,1014911,1014912,1014913,1014914,1014915,1014916,1014917,1014918,1014919,1014920,1014921
每缸气门数(个),未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),140,140,140,140,140,140,140,140,136,136,136,136,136,136,136,136,136,136,136,136,143,143,143,143,143,143,136,136,136,127,127,127,127,127,127,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,143,143,143,143,136,136,136,136,143,143,143,143
最大载重质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大满载质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩转速(rpm),1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400
最大扭矩(N·m)_y,400,400,400,400,400,400,400,400,350,350,350,350,350,350,350,350,350,350,350,350,380,380,380,380,380,380,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,380,380,380,380,350,350,350,350,380,380,380,380
最大扭矩(N·m)_x,400,400,400,400,400,400,400,400,350,350,350,350,350,350,350,350,350,350,350,350,380,380,380,380,380,380,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,380,380,380,380,350,350,350,350,380,380,380,380
最大功率转速(rpm),2950,2950,2950,2950,2950,2950,2950,2950,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200
最大功率(kW)_y,103,103,103,103,103,103,103,103,100,100,100,100,100,100,100,100,100,100,100,100,105,105,105,105,105,105,100,100,100,93,93,93,93,93,93,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,105,105,105,105,100,100,100,100,105,105,105,105
最大功率(kW)_x,103,103,103,103,103,103,103,103,100,100,100,100,100,100,100,100,100,100,100,100,105,105,105,105,105,105,100,100,100,93,93,93,93,93,93,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,105,105,105,105,100,100,100,100,105,105,105,105
无钥匙进入功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
整备质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
排量(mL),-,-,-,-,-,-,-,-,2298,2298,2298,2298,2298,2298,2298,2298,1997,1997,1997,1997,2298,2298,2298,2298,2298,2298,1997,1997,1997,1999,1999,1999,1999,1999,1999,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298
挡位个数,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
扬声器数量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
座位数(个),5-9,6-9,6-9,6-9,3,3,3,3,5-9,5-9,6-9,6-9,3,3,3,3,5-9,5-9,6-9,6-9,6-9,6-9,6-9,3,3,3,6-9,6-9,6-9,5-9,6-9,6-9,3,3,3,7/8/9,5/6,5/6,7/8/9,5/6,5/6,7/8/9,7/8/9,5/6,7/8/9,7/8/9,7/8/9,5/6,5/6,7/8/9,7/8/9,5/6,7/8/9,7/8/9,7/8/9,3,3,3,3,3,3,3,3
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
巡航系统,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宽度(mm),2036,2036,2060,2060,2060,2060,2036,2036,2036,2036,2036,2036,2036,2036,2036,2036,2036,2036,2036,2036,2036,2060,2060,2060,2060,2036,2060,2060,2036,2036,2036,2036,2036,2036,2036,2036,2036,2036,2036,2036,2036,2036,2036,2036,2036,2036,2036,2036,2036,2036,2036,2036,2036,2036,2060,2036,2036,2036,2036,2036,2036,2060,2060
安全带未系提醒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天窗类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多媒体/充电接口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮胎规格,215/75 R16,215/75 R16,185/75 R16,185/75 R16,185/75 R16,185/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,195/75 R16,195/75 R16,195/75 R16,195/75 R16,215/75 R16,195/75 R16,195/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,195/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,195/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,195/75 R16,195/75 R16
后排车门开启方式,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒形式,,,,,-,-,-,-,,,,,-,-,-,-,,,,,,,,-,-,-,,,,,,,-,-,-,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧窗遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后悬架类型,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架
后座出风口,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,○,○,○,○,○,○,○,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-
后制动器类型,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
可变转向比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可变悬架功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
变速箱,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动
发动机电子防盗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机型号,YCY24140-60,YCY24140-60,YCY24140-60,YCY24140-60,YCY24140-60,YCY24140-60,YCY24140-60,YCY24140-60,M9T,M9T,M9T,M9T,M9T,M9T,M9T,M9T,ZD20,ZD20,ZD20,ZD20,M9T,M9T,M9T,M9T,M9T,M9T,ZD20,ZD20,ZD20,D20,D20,D20,D20,D20,D20,ZD20D14-6N,ZD20D14-6N,ZD20D14-6N,ZD20D14-6N,ZD20D14-6N,ZD20D14-6N,ZD20D14-6N,ZD20D14-6N,ZD20D14-6N,ZD20D14-6N,ZD20D14-6N,ZD20D14-6N,M9T-601,M9T-601,M9T-601,M9T-601,M9T-600,M9T-600,M9T-600,M9T-600,M9T-601,M9T-601,M9T-601,M9T-601,M9T-600,M9T-600,M9T-600,M9T-600
发动机启停技术,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,2.4T 140马力 L4,2.4T 140马力 L4,2.4T 140马力 L4,2.4T 140马力 L4,2.4T 140马力 L4,2.4T 140马力 L4,2.4T 140马力 L4,2.4T 140马力 L4,2.3T 136马力 L4,2.3T 136马力 L4,2.3T 136马力 L4,2.3T 136马力 L4,2.3T 136马力 L4,2.3T 136马力 L4,2.3T 136马力 L4,2.3T 136马力 L4,2.0T 136马力 L4,2.0T 136马力 L4,2.0T 136马力 L4,2.0T 136马力 L4,2.3T 143马力 L4,2.3T 143马力 L4,2.3T 143马力 L4,2.3T 143马力 L4,2.3T 143马力 L4,2.3T 143马力 L4,2.0T 136马力 L4,2.0T 136马力 L4,2.0T 136马力 L4,2.0T 127马力 L4,2.0T 127马力 L4,2.0T 127马力 L4,2.0T 127马力 L4,2.0T 127马力 L4,2.0T 127马力 L4,2.0T 136马力 L4,2.0T 136马力 L4,2.0T 136马力 L4,2.0T 136马力 L4,2.0T 136马力 L4,2.0T 136马力 L4,2.0T 136马力 L4,2.0T 136马力 L4,2.0T 136马力 L4,2.0T 136马力 L4,2.0T 136马力 L4,2.0T 136马力 L4,2.3T 136马力 L4,2.3T 136马力 L4,2.3T 136马力 L4,2.3T 136马力 L4,2.3T 143马力 L4,2.3T 143马力 L4,2.3T 143马力 L4,2.3T 143马力 L4,2.3T 136马力 L4,2.3T 136马力 L4,2.3T 136马力 L4,2.3T 136马力 L4,2.3T 143马力 L4,2.3T 143马力 L4,2.3T 143马力 L4,2.3T 143马力 L4
压缩比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
厂商指导价(元),12.58万,14.98万,16.68万,15.68万,14.88万,15.88万,11.78万,14.18万,12.48万,12.48万,14.88万,15.38万,11.68万,14.08万,14.58万,11.68万,11.98万,11.98万,14.38万,14.88万,14.98万,16.68万,15.68万,15.88万,14.88万,14.18万,15.18万,16.18万,14.48万,11.98万,13.98万,14.48万,11.48万,13.48万,13.98万,13.68万,12.18万,12.18万,14.18万,13.68万,13.68万,15.18万,15.68万,12.28万,13.88万,14.38万,14.58万,13.18万,13.18万,14.68万,15.18万,13.18万,14.78万,15.28万,15.48万,11.88万,11.88万,14.28万,14.78万,11.98万,14.38万,15.08万,16.08万
厂商,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车
卫星导航系统,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
助力类型,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力
副座椅调节方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前轮距(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前轮胎规格,215/75 R16,215/75 R16,185/75 R16,185/75 R16,185/75 R16,185/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,195/75 R16,195/75 R16,195/75 R16,195/75 R16,215/75 R16,195/75 R16,195/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16,195/75 R16,195/75 R16
前排座椅功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
