Feature,26012,27615,27723,30347,30348,30349,30350,30351,30352,32773,32835,32836,33967,33969,33970,33971,33972,33973,33974,35678,35942,36503,36504,36505,36506,36507,36508,36509,36510,36511,36512
后视镜记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后视镜电动折叠,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜加热,●,-,●,-,●,●,-,●,●,●,-,●,-,●,●,●,●,●,●,●,●,-,-,○,●,○,●,○,●,●,●
后电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后电动机最大功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后桥限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排独立空调,●,-,●,-,●,●,-,●,●,●,-,●,-,●,●,●,●,●,●,●,●,-,-,○,●,○,●,○,●,●,●
后排液晶屏,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒方式,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,-,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后悬架类型,钢板弹簧结构,钢板弹簧结构,钢板弹簧结构,钢板弹簧结构,钢板弹簧结构,钢板弹簧结构,钢板弹簧结构,钢板弹簧结构,钢板弹簧结构,钢板弹簧结构,钢板弹簧结构,钢板弹簧结构,钢板弹簧结构,钢板弹簧结构,钢板弹簧结构,钢板弹簧结构,钢板弹簧结构,钢板弹簧结构,钢板弹簧结构,螺旋弹簧式非独立悬架,螺旋弹簧式非独立悬架,钢板弹簧结构,钢板弹簧结构,钢板弹簧结构,钢板弹簧结构,钢板弹簧结构,钢板弹簧结构,钢板弹簧结构,钢板弹簧结构,螺旋弹簧式非独立悬架,螺旋弹簧式非独立悬架
后座出风口,●,-,●,-,●,●,-,●,●,●,-,●,-,●,●,●,●,●,●,●,●,-,-,○,●,○,●,○,●,●,●
后制动器类型,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,盘式,盘式,盘式,鼓式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,鼓式,鼓式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
可变转向比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可变悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可加热/制冷杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),双离合变速箱(DCT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
变速箱,5挡手动,5挡手动,5挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,5挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡双离合,6挡手动,5挡手动,5挡手动,5挡手动,5挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动
发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
发动机特有技术,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机型号,HFC4GA3-3D,HFC4GA3-3D,HFC4GA3-3D,HFC4GA3-4D,HFC4GA3-4D,HFC4GA3-4D,HFC4DB1-2D,HFC4DB1-2D,HFC4DB1-2D,HFC4GC1-6D,HFC4GC1-6D,HFC4GC1-6D,HFC4GA3-3D,HFC4GC1-6D,HFC4GC1-6D,HFC4GC1-6D,HFC4GC1-6D,HFC4GC1-6D,HFC4GC1-6D,HFC4GA3-4D,HFC4GA3-4D,HFC4GA3-3D,HFC4GA3-3D,HFC4GA3-3D,HFC4GA3-3D,HFC4DB1-2D,HFC4DB1-2D,HFC4GC1-6D,HFC4GC1-6D,HFC4GA3-4D,HFC4GA3-4D
发动机启停技术,-,-,-,-,-,-,-,-,-,●,●,●,-,-,-,-,●,●,●,-,-,-,-,-,-,-,-,●,●,-,-
发动机,2.0L 147马力 L4,2.0L 147马力 L4,2.0L 147马力 L4,2.0T 190马力 L4,2.0T 190马力 L4,2.0T 190马力 L4,1.9T 139马力 L4,1.9T 139马力 L4,1.9T 139马力 L4,1.5T 174马力 L4,1.5T 174马力 L4,1.5T 174马力 L4,2.0L 147马力 L4,1.5T 174马力 L4,1.5T 174马力 L4,1.5T 174马力 L4,1.5T 174马力 L4,1.5T 174马力 L4,1.5T 174马力 L4,2.0T 190马力 L4,2.0T 190马力 L4,2.0L 147马力 L4,2.0L 147马力 L4,2.0L 147马力 L4,2.0L 147马力 L4,1.9T 139马力 L4,1.9T 139马力 L4,1.5T 174马力 L4,1.5T 174马力 L4,2.0T 190马力 L4,2.0T 190马力 L4
压缩比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
厂商指导价(元),12.98万,10.98万,11.98万,11.98万,12.98万,13.98万,12.98万,13.98万,14.98万,14.98万,12.98万,13.98万,9.98万,13.28万,14.28万,15.28万,14.48万,15.48万,16.48万,14.98万,13.98万,9.98万,9.98万,10.98万,11.98万,12.98万,13.98万,12.98万,13.98万,13.98万,14.98万
厂商,江淮汽车,江淮汽车,江淮汽车,江淮汽车,江淮汽车,江淮汽车,江淮汽车,江淮汽车,江淮汽车,江淮汽车,江淮汽车,江淮汽车,江淮汽车,江淮汽车,江淮汽车,江淮汽车,江淮汽车,江淮汽车,江淮汽车,江淮汽车,江淮汽车,江淮汽车,江淮汽车,江淮汽车,江淮汽车,江淮汽车,江淮汽车,江淮汽车,江淮汽车,江淮汽车,江淮汽车
助力类型,机械液压助力,机械液压助力,机械液压助力,电动助力,电动助力,电动助力,机械液压助力,机械液压助力,机械液压助力,电动助力,电动助力,电动助力,机械液压助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,电动助力,电动助力,电动助力,电动助力
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前雾灯,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●
前轮距(mm),1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570
前轮胎规格,205/70 R15,205/70 R15,205/70 R15,205/70 R15,205/70 R15,205/70 R15,205/70 R15,205/70 R15,205/70 R15,215/65 R16,215/65 R16,215/65 R16,205/70 R15,215/65 R16,215/65 R16,215/65 R16,215/65 R16,215/65 R16,215/65 R16,215/65 R16,215/65 R16,205/70 R15,205/70 R15,215/65 R16,215/65 R16,215/65 R16,215/65 R16,215/65 R16,215/65 R16,215/65 R16,215/65 R16
前电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前电动机最大功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前桥限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前悬架类型,双横臂纵置扭杆,双横臂纵置扭杆,双横臂纵置扭杆,双横臂式独立悬架,双横臂式独立悬架,双横臂式独立悬架,双横臂纵置扭杆,双横臂纵置扭杆,双横臂纵置扭杆,双横臂式独立悬架,双横臂式独立悬架,双横臂式独立悬架,双横臂纵置扭杆,双横臂式独立悬架,双横臂式独立悬架,双横臂式独立悬架,双横臂式独立悬架,双横臂式独立悬架,双横臂式独立悬架,双横臂式独立悬架,双横臂式独立悬架,双横臂纵置扭杆,双横臂纵置扭杆,双横臂纵置扭杆,双横臂纵置扭杆,双横臂纵置扭杆,双横臂纵置扭杆,双横臂式独立悬架,双横臂式独立悬架,双横臂式独立悬架,双横臂式独立悬架
前大灯雨雾模式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,-,-,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排座椅通风,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排座椅按摩,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排座椅加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排头部气囊(气帘),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排侧气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后中央扶手,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,-,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,-,-,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
内置行车记录仪,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
内/外后视镜自动防眩目,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
全液晶仪表盘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
全景摄像头,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,●,●,●,-,-,-,-,-,-,-,-,●,●
全景天窗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
倒车视频影像,●,-,●,-,●,●,-,●,●,●,-,●,-,●,●,●,●,●,●,●,●,-,-,-,●,-,●,-,●,●,●
侧滑门,手动侧滑门,手动侧滑门,手动侧滑门,手动侧滑门,手动侧滑门,手动侧滑门,手动侧滑门,手动侧滑门,手动侧滑门,手动侧滑门,手动侧滑门,手动侧滑门,手动侧滑门,手动侧滑门,手动侧滑门,手动侧滑门,手动侧滑门,手动侧滑门,手动侧滑门,手动侧滑门,手动侧滑门,手动侧滑门,手动侧滑门,手动侧滑门,手动侧滑门,手动侧滑门,手动侧滑门,手动侧滑门,手动侧滑门,手动侧滑门,手动侧滑门
供油方式,多点电喷,多点电喷,多点电喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,多点电喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,多点电喷,多点电喷,多点电喷,多点电喷,直喷,直喷,直喷,直喷,直喷,直喷
主动降噪,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动刹车/主动安全系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主/副驾驶座电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控液晶屏分屏显示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中控台彩色大屏尺寸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中控台彩色大屏,●,-,●,-,●,●,-,●,●,●,-,●,-,●,●,●,●,●,●,●,●,-,-,-,●,-,●,-,●,●,●
中央差速器锁止功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
上市时间,2016.10,2016.10,2016.10,2017.04,2017.04,2017.04,2017.04,2017.04,2017.04,2017.11,2017.11,2017.11,2018.03,2018.03,2018.03,2018.03,2018.03,2018.03,2018.03,2018.08,2018.09,2018.10,2018.10,2018.10,2018.10,2018.10,2018.10,2018.10,2018.10,2018.10,2018.10
上坡辅助,-,-,-,-,-,-,-,-,-,●,●,●,-,●,●,●,●,●,●,-,-,-,-,-,-,-,-,●,●,-,-
LED日间行车灯,●,-,●,-,●,●,-,●,●,●,-,●,-,●,●,●,●,●,●,●,●,-,-,-,●,-,●,-,●,●,●
ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●
HUD抬头数字显示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GPS导航系统,●,-,●,-,●,●,-,●,●,●,-,●,-,●,●,●,●,●,●,●,●,-,-,-,●,-,●,-,●,●,●
CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
220V/230V电源,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
