Feature,1005330,1005331,1005586,1005587,1005588,1005589,1005590,1005591,1005592,1005593,1005609,1005610,1005611,1005612,1005959,1005960,1005961,1005962,1005963,1005964,1006250,1006251,1006252,1006253,1006254,1006255,1006256,1006257,1006327,1006328,1006329,1006330,1006814,1006815,1006816,1006817,1006888,1006889,1006890,1006891,1006892,1006893,1006894,1006895,1006896,1006897,1006898,1006899,1006900,1006901,1006902,1006903,1006904,1006905,1007227,1007228,1007229
最小离地间隙(mm),200,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),136,136,218,129,218,129,218,129,218,129,129,129,129,129,136,136,218,218,218,218,136,136,136,136,136,136,136,136,129,129,129,129,218,218,218,218,129,129,129,129,129,129,218,218,218,218,218,218,129,129,129,129,129,129,218,218,129
最大载重质量(kg),480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480
最大扭矩转速(rpm),2500-3000,2500-3000,2000-4000,1800,2000-4000,1800,2000-4000,1800,2000-4000,1800,1800,1800,1800,1800,2500-3000,2500-3000,2000-4000,2000-4000,2000-4000,2000-4000,1800-2200,1800-2200,1800-2200,1800-2200,1800-2200,1800-2200,1800-2200,1800-2200,1800,1800,1800,1800,2000-4000,2000-4000,2000-4000,2000-4000,1800,1800,1800,1800,1800,1800,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,1800,1800,1800,1800,1800,1800,2000-4000,2000-4000,1800
最大扭矩(N·m)_y,216,216,320,320,320,320,320,320,320,320,320,320,320,320,216,216,320,320,320,320,340,340,340,340,340,340,340,340,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320
最大扭矩(N·m)_x,216,216,320,320,320,320,320,320,320,320,320,320,320,320,216,216,320,320,320,320,340,340,340,340,340,340,340,340,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320
最大功率转速(rpm),5250,5250,5600,3400,5600,3400,5600,3400,5600,3400,3400,3400,3400,3400,5250,5250,5600,5600,5600,5600,3600,3600,3600,3600,3600,3600,3600,3600,3400,3400,3400,3400,5600,5600,5600,5600,3400,3400,3400,3400,3400,3400,5600,5600,5600,5600,5600,5600,3400,3400,3400,3400,3400,3400,5600,5600,3400
最大功率(kW)_y,100,100,160,95,160,95,160,95,160,95,95,95,95,95,100,100,160,160,160,160,100,100,100,100,100,100,100,100,95,95,95,95,160,160,160,160,95,95,95,95,95,95,160,160,160,160,160,160,95,95,95,95,95,95,160,160,95
最大功率(kW)_x,100,100,160,95,160,95,160,95,160,95,95,95,95,95,100,100,160,160,160,160,100,100,100,100,100,100,100,100,95,95,95,95,160,160,160,160,95,95,95,95,95,95,160,160,160,160,160,160,95,95,95,95,95,95,160,160,95
无钥匙进入系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●
方向盘调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,-,-,-,-,-,-,-,-,-,-,-,-,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整备质量(kg),-,-,1985,2060,1985,2060,1885,1960,1885,1960,2110,2110,2000,2000,1830,1830,1995,1995,1920,1920,1950,1975,1950,1975,2050,2065,2050,2065,-,-,-,-,-,-,-,-,1960,1960,1960,2060,2060,2060,1985,1985,1985,1885,1885,1885,2115,2115,2115,2005,2005,2005,-,-,-
排量(mL),2378,2378,2378,2499,2378,2499,2378,2499,2378,2499,2499,2499,2499,2499,2378,2378,2378,2378,2378,2378,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2378,2378,2378,2378,2499,2499,2499,2499,2499,2499,2378,2378,2378,2378,2378,2378,2499,2499,2499,2499,2499,2499,2378,2378,2499
挡位个数,5,5,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6
扬声器品牌,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
扬声器个数,4-5喇叭,4-5喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,4-5喇叭,4-5喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭
感应雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,●,●,-,●,●,-,●,●,-,●,●,-,●,●,-,-,●,●
感应后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅高低调节,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,-,-,●,●,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅材料,仿皮,织物,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,织物,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,织物,织物,仿皮,仿皮,仿皮,仿皮,织物,织物,织物,织物,织物,织物,织物,织物,真皮,仿皮,织物,真皮,仿皮,织物,真皮,仿皮,织物,真皮,仿皮,织物,真皮,仿皮,织物,真皮,仿皮,织物,仿皮,真皮,真皮
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
宽度(mm),1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1885,1885,1920
定速巡航,-,-,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●
安全带未系提示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外接音源接口,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580
后轮胎规格,245/70 R16,245/70 R16,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,245/70 R16,245/70 R16,265/70 R16,265/70 R16,265/70 R16,265/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,265/70 R16,265/70 R16,265/70 R16,265/70 R16,265/70 R16,265/70 R16,265/70 R16,265/70 R16,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17
后视镜记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后视镜电动折叠,-,-,●,●,-,-,●,●,-,-,●,-,●,-,-,-,●,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,●,-,-,●,-,-,●,-,-,●,-,-,●,-,-,●,●,●
后视镜加热,-,-,●,●,-,-,●,●,-,-,●,-,●,-,-,-,●,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,●,-,-,●,-,-,●,-,-,●,-,-,●,-,-,●,●,●
后桥限滑差速器/差速锁,-,-,差速锁,差速锁,-,-,-,-,-,-,差速锁,-,-,-,-,-,差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,差速锁,-,-,差速锁,-,-,-,-,-,差速锁,-,-,-,-,-,差速锁,差速锁,差速锁
后排车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒方式,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后悬架类型,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧
后座出风口,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后制动器类型,鼓式,鼓式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,鼓式,盘式,盘式
可变转向比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可变悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT)
变速箱,5挡手动,5挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,5挡手动,5挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡自动,6挡自动,6挡自动,6挡自动,6挡自动,6挡自动,5挡手动,6挡手动,6挡自动
发动机电子防盗,-,-,●,-,●,-,●,-,●,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机型号,4G69S4N,4G69S4N,4K22D4T,-,4K22D4T,-,4K22D4T,-,4K22D4T,-,-,-,-,-,4G69S4N,4G69S4N,4K22D4T,4K22D4T,4K22D4T,4K22D4T,SD4V25R-100,SD4V25R-100,SD4V25R-100,SD4V25R-100,SD4V25R-100,SD4V25R-100,SD4V25R-100,SD4V25R-100,JE4D25Q5A,JE4D25Q5A,JE4D25Q5A,JE4D25Q5A,4K22D4T,4K22D4T,4K22D4T,4K22D4T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4K22D4T,4K22D4T,JE4D25Q5A
发动机启停技术,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,2.4L 136马力 L4,2.4L 136马力 L4,2.4T 218马力 L4,2.5T 129马力 L4,2.4T 218马力 L4,2.5T 129马力 L4,2.4T 218马力 L4,2.5T 129马力 L4,2.4T 218马力 L4,2.5T 129马力 L4,2.5T 129马力 L4,2.5T 129马力 L4,2.5T 129马力 L4,2.5T 129马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4T 218马力 L4,2.4T 218马力 L4,2.4T 218马力 L4,2.4T 218马力 L4,2.5T 136马力 L4,2.5T 136马力 L4,2.5T 136马力 L4,2.5T 136马力 L4,2.5T 136马力 L4,2.5T 136马力 L4,2.5T 136马力 L4,2.5T 136马力 L4,2.5T 129马力 L4,2.5T 129马力 L4,2.5T 129马力 L4,2.5T 129马力 L4,2.4T 218马力 L4,2.4T 218马力 L4,2.4T 218马力 L4,2.4T 218马力 L4,2.5T 129马力 L4,2.5T 129马力 L4,2.5T 129马力 L4,2.5T 129马力 L4,2.5T 129马力 L4,2.5T 129马力 L4,2.4T 218马力 L4,2.4T 218马力 L4,2.4T 218马力 L4,2.4T 218马力 L4,2.4T 218马力 L4,2.4T 218马力 L4,2.5T 129马力 L4,2.5T 129马力 L4,2.5T 129马力 L4,2.5T 129马力 L4,2.5T 129马力 L4,2.5T 129马力 L4,2.4T 218马力 L4,2.4T 218马力 L4,2.5T 129马力 L4
压缩比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
厂商指导价(元),8.88万,8.38万,14.18万,14.48万,12.88万,13.18万,11.88万,12.18万,10.88万,11.38万,14.58万,13.28万,12.28万,11.48万,9.08万,8.58万,14.38万,13.08万,12.08万,11.08万,9.98万,10.18万,9.58万,9.78万,11.68万,11.88万,11.08万,11.28万,13.08万,13.18万,11.28万,11.38万,11.08万,11.28万,10.08万,10.28万,13.38万,12.18万,11.38万,15.18万,13.68万,12.88万,14.68万,13.18万,12.38万,12.88万,11.68万,10.88万,16.78万,15.28万,14.48万,14.98万,13.78万,12.98万,18.38万,19.38万,19.88万
厂商,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车
助力类型,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力
前雾灯,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,-,-,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
前轮距(mm),1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580
前轮胎规格,245/70 R16,245/70 R16,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,245/70 R16,245/70 R16,265/70 R16,265/70 R16,265/70 R16,265/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,265/70 R16,265/70 R16,265/70 R16,265/70 R16,265/70 R16,265/70 R16,265/70 R16,265/70 R16,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17,265/65 R17
前桥限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
