,1004091,1004093,1004095,1004097,1004099,1004100,1004102,1004103,1004105,1004106,1004108,1004109,1004726,1004727,1004728,1004729,1004730,1004731,1004732,1004733,1005156,1005157,1005158,1005159,1005160,1005161,1005162,1005163,1005164,1005165,1005166,1005167,1005168,1005169,1005170,1005171,1005340,1005341,1005342,1005343,1005344,1005345,1005346,1005347,1005348,1005349,1005350,1005351,1005352,1005353,1005354,1005355,1005356,1005357,1005358,1005359,1005360,1005361,1005362,1005363,1005364,1005365,1005366,1005367,1005368,1005369,1005370,1005371,1005373,1005374,1005375,1005376,1005377,1005378,1005379,1005380,1005755,1005757,1005759,1005761,1005763,1005765,1005767,1005769,1005771,1005773,1005775,1005777,1006258,1006259,1006260,1006261,1006262,1006263,1006264,1006265,1006266,1006267,1006268,1006269,1006270,1006271,1006272,1006273,1006274,1006275,1006276,1006277
上市时间,2016.03,2016.03,2016.03,2016.03,2016.03,2016.03,2016.03,2016.03,2016.03,2016.03,2016.03,2016.03,2016.11,2016.11,2016.11,2016.11,2016.11,2016.11,2016.11,2016.11,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部纯电续驶里程(km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大功率(kW)_x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩(N·m)_x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,2.8T 102马力 L4,2.8T 102马力 L4,2.8T 102马力 L4,2.8T 102马力 L4,2.8T 92马力 L4,2.8T 102马力 L4,2.8T 92马力 L4,2.8T 102马力 L4,2.8T 92马力 L4,2.8T 102马力 L4,2.8T 92马力 L4,2.8T 102马力 L4,2.2L 112马力 L4,2.2L 112马力 L4,2.2L 112马力 L4,2.2L 112马力 L4,2.2L 112马力 L4,2.2L 112马力 L4,2.2L 112马力 L4,2.2L 112马力 L4,2.8T 102马力 L4,2.2L 112马力 L4,2.8T 102马力 L4,2.2L 112马力 L4,2.8T 102马力 L4,2.2L 112马力 L4,2.8T 102马力 L4,2.2L 112马力 L4,2.8T 102马力 L4,2.2L 112马力 L4,2.8T 102马力 L4,2.2L 112马力 L4,2.8T 102马力 L4,2.2L 112马力 L4,2.8T 102马力 L4,2.2L 112马力 L4,2.8T 102马力 L4,2.2L 112马力 L4,2.8T 102马力 L4,2.2L 112马力 L4,2.8T 102马力 L4,2.2L 112马力 L4,2.8T 102马力 L4,2.2L 112马力 L4,2.8T 102马力 L4,2.2L 112马力 L4,2.8T 102马力 L4,2.2L 112马力 L4,2.8T 102马力 L4,2.2L 112马力 L4,2.8T 102马力 L4,2.2L 112马力 L4,2.8T 102马力 L4,2.2L 112马力 L4,2.8T 102马力 L4,2.2L 112马力 L4,2.8T 102马力 L4,2.2L 112马力 L4,2.8T 102马力 L4,2.2L 112马力 L4,2.8T 102马力 L4,2.2L 112马力 L4,2.8T 102马力 L4,2.2L 112马力 L4,2.8T 102马力 L4,2.2L 112马力 L4,2.8T 102马力 L4,2.2L 112马力 L4,2.8T 102马力 L4,2.2L 112马力 L4,2.8T 102马力 L4,2.2L 112马力 L4,2.8T 102马力 L4,2.2L 112马力 L4,2.8T 102马力 L4,2.2L 112马力 L4,2.0T 122马力 L4,2.0T 122马力 L4,2.0T 122马力 L4,2.0T 122马力 L4,2.0T 122马力 L4,2.0T 122马力 L4,2.0T 122马力 L4,2.0T 122马力 L4,2.0T 122马力 L4,2.0T 122马力 L4,2.0T 122马力 L4,2.0T 122马力 L4,2.8T 106马力 L4,2.8T 106马力 L4,2.8T 106马力 L4,2.8T 106马力 L4,2.8T 106马力 L4,2.8T 106马力 L4,2.8T 106马力 L4,2.8T 106马力 L4,2.8T 106马力 L4,2.8T 106马力 L4,2.8T 106马力 L4,2.8T 106马力 L4,2.0T 201马力 L4,2.0T 201马力 L4,2.0T 201马力 L4,2.0T 201马力 L4,2.0T 201马力 L4,2.0T 201马力 L4,2.0T 201马力 L4,2.0T 201马力 L4
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
长*宽*高(mm),5225×1775×1730,5580×1775×1730,5225×1775×1730,5580×1775×1730,5225×1775×1730,5225×1775×1730,5580×1775×1730,5580×1775×1730,5225×1775×1730,5225×1775×1730,5580×1775×1730,5580×1775×1730,5225×1775×1730,5580×1775×1730,5225×1775×1730,5580×1775×1730,5225×1775×1730,5580×1775×1730,5225×1775×1730,5580×1775×1730,5250×1830×1730,5250×1830×1730,5620×1830×1730,5620×1830×1730,5250×1830×1730,5250×1830×1730,5620×1830×1730,5620×1830×1730,5250×1830×1730,5250×1830×1730,5620×1830×1730,5620×1830×1730,5250×1830×1730,5250×1830×1730,5620×1830×1730,5620×1830×1730,5225×1775×1730,5225×1775×1730,5580×1775×1730,5580×1775×1730,5225×1775×1730,5225×1775×1730,5580×1775×1730,5580×1775×1730,5225×1775×1730,5225×1775×1730,5580×1775×1730,5580×1775×1730,5225×1775×1730,5225×1775×1730,5580×1775×1730,5580×1775×1730,5250×1830×1730,5250×1830×1730,5620×1830×1730,5620×1830×1730,5250×1830×1730,5250×1830×1730,5620×1830×1730,5620×1830×1730,5250×1830×1730,5250×1830×1730,5620×1830×1730,5620×1830×1730,5250×1830×1730,5250×1830×1730,5620×1830×1730,5620×1830×1730,5250×1830×1730,5250×1830×1730,5620×1830×1730,5620×1830×1730,5250×1830×1730,5250×1830×1730,5620×1830×1730,5620×1830×1730,5250×1830×1730,5620×1830×1730,5250×1830×1730,5620×1830×1730,5250×1830×1730,5620×1830×1730,5250×1830×1730,5620×1830×1730,5250×1830×1730,5620×1830×1730,5250×1830×1730,5620×1830×1730,5250×1830×1730,5620×1830×1730,5250×1830×1730,5620×1830×1730,5250×1830×1730,5620×1830×1730,5250×1830×1730,5620×1830×1730,5250×1830×1730,5620×1830×1730,5250×1830×1730,5620×1830×1730,5250×1830×1730,5620×1830×1730,5250×1830×1730,5620×1830×1730,5250×1830×1730,5620×1830×1730,5250×1830×1730,5620×1830×1730
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
最高车速(km/h),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5225,5580,5225,5580,5225,5225,5580,5580,5225,5225,5580,5580,5225,5580,5225,5580,5225,5580,5225,5580,5250,5250,5620,5620,5250,5250,5620,5620,5250,5250,5620,5620,5250,5250,5620,5620,5225,5225,5580,5580,5225,5225,5580,5580,5225,5225,5580,5580,5225,5225,5580,5580,5250,5250,5620,5620,5250,5250,5620,5620,5250,5250,5620,5620,5250,5250,5620,5620,5250,5250,5620,5620,5250,5250,5620,5620,5250,5620,5250,5620,5250,5620,5250,5620,5250,5620,5250,5620,5250,5620,5250,5620,5250,5620,5250,5620,5250,5620,5250,5620,5250,5620,5250,5620,5250,5620,5250,5620
宽度(mm),1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830
高度(mm),1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730
轴距(mm),3025,3380,3025,3380,3025,3025,3380,3380,3025,3025,3380,3380,3025,3380,3025,3380,3025,3380,3025,3380,3025,3025,3395,3395,3025,3025,3395,3395,3025,3025,3395,3395,3025,3025,3395,3395,3025,3025,3380,3380,3025,3025,3380,3380,3025,3025,3380,3380,3025,3025,3380,3380,3025,3025,3395,3395,3025,3025,3395,3395,3025,3025,3395,3395,3025,3025,3395,3395,3025,3025,3395,3395,3025,3025,3395,3395,3025,3395,3025,3395,3025,3395,3025,3395,3025,3395,3025,3395,3025,3395,3025,3395,3025,3395,3025,3395,3025,3395,3025,3395,3025,3395,3025,3395,3025,3395,3025,3395
前轮距(mm),1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515
后轮距(mm),1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整备质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
后排车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
油箱容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
货箱尺寸(mm),1480x1470x470,1835x1470x470,1480x1470x470,1835x1470x470,1480x1470x470,1480x1470x470,1835x1470x470,1835x1470x470,1480x1470x470,1480x1470x470,1835x1470x470,1835x1470x470,1480x1470x470,1835x1470x470,1480x1470x470,1835x1470x470,1480x1470x470,1835x1470x470,1480x1470x470,1835x1470x470,1480x1470x470,1480x1470x470,1835x1470x470,1835x1470x470,1480x1470x470,1480x1470x470,1835x1470x470,1835x1470x470,1480x1470x470,1480x1470x470,1835x1470x470,1835x1470x470,1480x1470x470,1480x1470x470,1835x1470x470,1835x1470x470,1480x1470x470,1480x1470x470,1835x1470x470,1835x1470x470,1480x1470x470,1480x1470x470,1835x1470x470,1835x1470x470,1480x1470x470,1480x1470x470,1835x1470x470,1835x1470x470,1480x1470x470,1480x1470x470,1835x1470x470,1835x1470x470,1480x1470x470,1480x1470x470,1835x1470x470,1835x1470x470,1480x1470x470,1480x1470x470,1835x1470x470,1835x1470x470,1480x1470x470,1480x1470x470,1835x1470x470,1835x1470x470,1480x1470x470,1480x1470x470,1835x1470x470,1835x1470x470,1480x1470x470,1480x1470x470,1835x1470x470,1835x1470x470,1480x1470x470,1480x1470x470,1835x1470x470,1835x1470x470,1480x1470x470,1835x1470x470,1480x1470x470,1835x1470x470,1480x1470x470,1835x1470x470,1480x1470x470,1835x1470x470,1480x1470x470,1835x1470x470,1480x1470x470,1835x1470x470,1480x1470x470,1835x1470x470,1480x1470x470,1835x1470x470,1480x1470x470,1835x1470x470,1480x1470x470,1835x1470x470,1480x1470x470,1835x1470x470,1480x1470x470,1835x1470x470,1480x1470x470,1835x1470x470,1480x1470x470,1835x1470x470,1480x1470x470,1835x1470x470,1480x1470x470,1835x1470x470
最大载重质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
挡位个数,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱
