Feature,1006662,1006663,1006664,1006665,1006666,1006667,1006668,1006669,1006706,1006707,1006708,1006709,1006710,1006711,1006712,1006713,1007401,1007402,1007406,1007407,1007408,1007409,1007410,1007411,1007412,1007413,1007414,1007415,1007416,1007417,1007418,1007419,1007420,1007421,1007422,1007423,1007424,1007425,1008778,1008779,1009464,1009465,1009468,1009469,1009470,1009471,1009472,1009473,1009474,1009475,1009476,1009477,1010286,1010287,1010288,1010289,1010290,1010291,1010292,1010294,1010300,1010301,1010302,1010303,1010304,1010305,1010306,1010307,1010312,1010313,1010314,1010315,1011226,1011227,1011228,1011229,1011230,1011231,1011232,1011233,1011234,1011235,1011236,1011237,1011238,1011239,1011240,1011241,1012636,1012640,1012641,1012642,1012643,1012644,1012645,1012646,1013405,1013406,1013407,1013408,1013409,1013410,1013411,1013412
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),1520x1520x470,1810x1520x470,1520x1520x470,1810x1520x470,1520x1520x470,1810x1520x470,1520x1520x470,1810x1520x470,1520x1520x470,1810x1520x470,1520x1520x470,1810x1520x470,1520x1520x470,1810x1520x470,1520x1520x470,1810x1520x470,1520x1520x470,1810x1520x470,1520x1520x470,1520x1520x470,1810x1520x470,1810x1520x470,1520x1520x470,1810x1520x470,1520x1520x470,1810x1520x470,1520x1520x470,1810x1520x470,1520x1520x470,1810x1520x470,1520x1520x470,1810x1520x470,1520x1520x470,1810x1520x470,1520x1520x470,1810x1520x470,1520x1520x470,1810x1520x470,1520x1520x470,1810x1520x470,1520x1520x470,1810x1520x470,1520x1520x470,1810x1520x470,1520x1520x470,1810x1520x470,1520x1520x470,1810x1520x470,1520x1520x470,1810x1520x470,1520x1520x470,1810x1520x470,1520x1520x470,1810x1520x470,1520x1520x470,1810x1520x470,1810x1520x470,1520x1520x470,1810x1520x470,1520x1520x470,1520x1520x470,1810x1520x470,1520x1520x470,1810x1520x470,1520x1520x470,1810x1520x470,1520x1520x470,1810x1520x470,1520x1520x470,1810x1520x470,1520x1520x470,1810x1520x470,1520x1520x470,1810x1520x470,1520x1520x470,1810x1520x470,1520x1520x470,1810x1520x470,1520x1520x470,1810x1520x470,1520x1520x470,1810x1520x470,1520x1520x470,1810x1520x470,1520x1520x470,1810x1520x470,1520x1520x470,1810x1520x470,1520x1520x470,1810x1520x470,1520x1520x470,1810x1520x470,1520x1520x470,1810x1520x470,1520x1520x470,1810x1520x470,1520x1520x470,1810x1520x470,1520x1520x470,1810x1520x470,1520x1520x470,1810x1520x470,1520x1520x470,1810x1520x470
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,●,●,-,-,●,●,●,●,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,柴油,汽油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油
胎压监测功能,-,-,,,-,-,,,,,,,-,-,-,-,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,,,,,,,,,,,,,-,-,-,-,,,,,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,-,-,,,-,-,,,,,,,-,-,-,-
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
级别,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
简称,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,5挡手动,5挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动吸合车门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国VI,国VI,国VI,国VI,国V,国V,国V,国V,国V,国V,国V,国V,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国VI,国VI,国VI,国VI,国V,国V,国V,国V,国V,国V,国V,国V,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-,●,●,-,-,●,●,●,●,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,-,-,●,●,●,●,●,●,-,-,-,-
燃油标号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,92号,92号,0号,92号,0号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,0号,0号,0号,0号,0号,0号,92号,92号,92号,92号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,0号,0号,0号,0号,92号,92号,92号,92号,0号,0号,0号,0号,92号,92号,92号,92号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号
燃料形式,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,柴油,汽油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,75,75,75,75,75,75,75,75,75,75,75,75,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,150,150,150,150,-,-,-,-,-,-,-,-,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,190,190,139,190,139,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,147,147,139,139,150,150,150,150,190,190,190,190,139,139,139,139,150,150,150,150,150,150,150,150,211,211,211,211,211,211,211,211,211,211,211,211,150,150,150,150,211,211,211,211,150,150,150,150,211,211,211,211,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
最大载重质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩转速(rpm),1600-2600,1600-2600,1600-2600,1600-2600,1600-2600,1600-2600,1600-2600,1600-2600,1600-2600,1600-2600,1600-2600,1600-2600,1600-2600,1600-2600,1600-2600,1600-2600,1800-4000,1800-4000,1600-2600,1800-4000,1600-2600,1800-4000,1800-4000,1800-4000,1800-4000,1800-4000,1800-4000,1800-4000,1800-4000,1800-4000,1800-4000,1800-4000,1800-4000,1800-4000,1800-4000,1800-4000,3000-4500,3000-4500,1600-2600,1600-2600,1800-2400,1800-2400,1800-2400,1800-2400,1800-4000,1800-4000,1800-4000,1800-4000,1600-2600,1600-2600,1600-2600,1600-2600,1800-2400,1800-2400,1800-2400,1800-2400,1800-2400,1800-2400,1800-2400,1800-2400,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,1800-2400,1800-2400,1800-2400,1800-2400,2000-4000,2000-4000,2000-4000,2000-4000,1800-2400,1800-2400,1800-2400,1800-2400,2000-4000,2000-4000,2000-4000,2000-4000,1800-2400,1800-2400,1800-2400,1800-2400,1800-2400,1800-2400,1800-2400,1800-2400,1800-2400,1800-2400,1800-2400,1800-2400,1800-2400,1800-2400,1800-2400,1800-2400
最大扭矩(N·m)_y,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,290,290,320,290,320,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,190,190,320,320,360,360,360,360,290,290,290,290,320,320,320,320,360,360,360,360,360,360,360,360,320,320,320,320,320,320,320,320,320,320,320,320,360,360,360,360,320,320,320,320,360,360,360,360,320,320,320,320,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360
最大扭矩(N·m)_x,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,290,290,320,290,320,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,190,190,320,320,360,360,360,360,290,290,290,290,320,320,320,320,360,360,360,360,360,360,360,360,320,320,320,320,320,320,320,320,320,320,320,320,360,360,360,360,320,320,320,320,360,360,360,360,320,320,320,320,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360
最大功率转速(rpm),3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,5000,5000,3600,5000,3600,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,6000,6000,3600,3600,3600,3600,3600,3600,5000,5000,5000,5000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,3600,3600,3600,3600,5200,5200,5200,5200,3600,3600,3600,3600,5200,5200,5200,5200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
最大功率(kW)_y,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,140,140,102,140,102,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,108,108,102,102,110,110,110,110,140,140,140,140,102,102,102,102,110,110,110,110,110,110,110,110,155,155,155,155,155,155,155,155,155,155,155,155,110,110,110,110,155,155,155,155,110,110,110,110,155,155,155,155,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
最大功率(kW)_x,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,140,140,102,140,102,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,108,108,102,102,110,110,110,110,140,140,140,140,102,102,102,102,110,110,110,110,110,110,110,110,155,155,155,155,155,155,155,155,155,155,155,155,110,110,110,110,155,155,155,155,110,110,110,110,155,155,155,155,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
无钥匙进入功能,-,-,,,-,-,,,,,,,-,-,-,-,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,,,,,,,,,,,,,-,-,-,-,,,,,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,-,-,,,-,-,,,,,,,,,,
无钥匙启动系统,-,-,●,●,-,-,●,●,●,●,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,-,-,●,●,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
