,1004961,1004962,1004963,1004964,1004965,1004966,1004967,1004968,1005105,1005107,1005109,1005111,1005112,1005113,1005114,1005115,1005116,1005117,1005118,1005119,1005128,1005129,1005130,1005131,1005132,1005133,1005134,1005135,1005136,1005137,1005138,1005139,1005144,1005145,1005146,1005147,1005148,1005149,1005197,1005198,1005199,1005200,1005201,1005631,1005632,1005633,1005634,1005656,1005657,1005658,1005659,1005660,1005661,1005662,1005663,1005784,1005785,1005786,1005787,1005788,1005789,1005790,1005791,1005792,1005793,1005794,1005795,1005796,1005797,1005798,1005799,1005800,1005801,1005945,1005946,1005947,1005948,1005949,1005950,1006095,1006096,1006097,1006098,1006099,1006100,1006101,1006102,1006103,1006104,1006105,1006106,1006107,1006108,1006109,1006110,1006407,1006408
后视镜记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
遮阳板化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调控制方式,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,-,手动●,手动●,-,手动●,手动●,-,手动●,手动●,-,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后座出风口,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内空气调节/花粉过滤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,拓陆者 2017款 2.4L S系列 汽油四驱旗舰版4G69S4M,拓陆者 2017款 2.0T S系列 汽油四驱旗舰版4G20TI4,拓陆者 2017款 2.4L S系列 汽油四驱公务版4G69S4M,拓陆者 2017款 2.0T S系列 汽油四驱公务版4G20TI4,拓陆者 2017款 2.4L S系列 汽油两驱旗舰版4G69S4M,拓陆者 2017款 2.0T S系列 汽油两驱旗舰版4G20TI4,拓陆者 2017款 2.4L S系列 汽油两驱公务版4G69S4M,拓陆者 2017款 2.0T S系列 汽油两驱公务版4G20TI4,拓陆者 2017款 2.0T S系列 汽油四驱至尊版4G20TI4,拓陆者 2017款 2.0T S系列 汽油四驱精英版4G20TI4,拓陆者 2017款 2.0T S系列 汽油两驱至尊版4G20TI4,拓陆者 2017款 2.0T S系列 汽油两驱精英版4G20TI4,拓陆者 2017款 2.4L S系列 汽油四驱至尊版4G69S4M,拓陆者 2017款 2.4L S系列 汽油四驱精英版4G69S4M,拓陆者 2017款 2.4L S系列 汽油两驱至尊版4G69S4M,拓陆者 2017款 2.4L S系列 汽油两驱精英版4G69S4M,拓陆者 2017款 2.4L S系列 汽油四驱精锐版4G69S4M,拓陆者 2017款 2.4L S系列 汽油四驱时尚版4G69S4M,拓陆者 2017款 2.4L S系列 汽油两驱精锐版4G69S4M,拓陆者 2017款 2.4L S系列 汽油两驱时尚版4G69S4M,拓陆者 2017款 2.4L E5 汽油四驱精英版4G69S4M,拓陆者 2017款 2.4L E5 汽油四驱舒适版4G69S4M,拓陆者 2017款 2.4L E5 汽油两驱精英版4G69S4M,拓陆者 2017款 2.4L E5 汽油两驱舒适版4G69S4M,拓陆者 2017款 2.4L E5 汽油四驱精锐版4G69S4M,拓陆者 2017款 2.4L E5 汽油四驱时尚版4G69S4M,拓陆者 2017款 2.4L E5 汽油两驱精锐版4G69S4M,拓陆者 2017款 2.4L E5 汽油两驱时尚版4G69S4M,拓陆者 2017款 2.4L E5 汽油四驱加长精英版4G69S4M,拓陆者 2017款 2.4L E5 汽油四驱加长舒适版4G69S4M,拓陆者 2017款 2.4L E5 汽油两驱加长精英版4G69S4M,拓陆者 2017款 2.4L E5 汽油两驱加长舒适版4G69S4M,拓陆者 2017款 2.4L E3 汽油四驱精英版4G69S4M,拓陆者 2017款 2.4L E3 汽油四驱舒适版4G69S4M,拓陆者 2017款 2.4L E3 汽油两驱加长精英版4G69S4M,拓陆者 2017款 2.4L E3 汽油两驱加长舒适版4G69S4M,拓陆者 2017款 2.4L E3 汽油两驱精英版4G69S4M,拓陆者 2017款 2.4L E3 汽油两驱舒适版4G69S4M,拓陆者 2017款 2.8T S系列 柴油四驱至尊版国VISF2.8s5174P,拓陆者 2017款 2.8T S系列 柴油四驱精英版国VISF2.8s5174P,拓陆者 2017款 2.8T S系列 柴油四驱舒适版国VISF2.8s5174P,拓陆者 2017款 2.8T S系列 柴油两驱至尊版国VISF2.8s5174P,拓陆者 2017款 2.8T S系列 柴油两驱精英版国VISF2.8s5174P,拓陆者 2017款 2.8TS系列 柴油两驱自动精英版国VISF2.8s5174P,拓陆者 2017款 2.8TS系列 柴油两驱自动至尊版国VISF2.8s5174P,拓陆者 2017款 2.8TS系列 柴油四驱自动精英版国VISF2.8s5174P,拓陆者 2017款 2.8TS系列 柴油四驱自动至尊版国VISF2.8s5174P,拓陆者 2017款 2.8T S系列 四驱领航版BISF2.8s5174P,拓陆者 2017款 2.8T S系列 四驱领航版AISF2.8s5174P,拓陆者 2017款 2.8T S系列 两驱领航版BISF2.8s5174P,拓陆者 2017款 2.8T S系列 两驱领航版AISF2.8s5174P,拓陆者 2017款 2.8T S系列 柴油四驱至尊版6MT国V,拓陆者 2017款 2.8T S系列 柴油四驱精英版6MT国V,拓陆者 2017款 2.8T S系列 柴油两驱至尊版6MT国V,拓陆者 2017款 2.8T S系列 柴油两驱精英版6MT国V,拓陆者 2017款 2.8T E系列 柴油两驱精英版低货台长厢国V,拓陆者 2017款 2.8T E系列 柴油两驱舒适版低货台长厢国V,拓陆者 2017款 2.8T E系列 柴油两驱超值版低货台长厢国V,拓陆者 2017款 2.8T E系列 柴油两驱精英版低货台国V,拓陆者 2017款 2.8T E系列 柴油两驱舒适版低货台国V,拓陆者 2017款 2.8T E系列 柴油两驱超值版低货台国V,拓陆者 2017款 2.8T E系列柴油两驱精英版高货台国V,拓陆者 2017款 2.8T E系列柴油两驱舒适版高货台国V,拓陆者 2017款 2.8T E系列柴油两驱超值版高货台国V,拓陆者 2017款 2.8T E系列柴油两驱精英版高货台长厢国V,拓陆者 2017款 2.8T E系列柴油两驱舒适版高货台长厢国V,拓陆者 2017款 2.8T E系列柴油两驱超值版高货台长厢国V,拓陆者 2017款 2.8T E系列柴油四驱精英版高货台国V,拓陆者 2017款 2.8T E系列柴油四驱舒适版高货台国V,拓陆者 2017款 2.8T E系列柴油四驱超值版高货台国V,拓陆者 2017款 2.8 TE系列柴油四驱精英版高货台长厢国V,拓陆者 2017款 2.8T E系列柴油四驱舒适版高货台长厢国V,拓陆者 2017款 2.8T E系列柴油四驱超值版高货台长厢国V,拓陆者 2018款 2.8T S系列柴油四驱自动至尊版国V,拓陆者 2018款 2.8T S系列柴油四驱自动精英版国V,拓陆者 2018款 2.8T S系列柴油四驱自动舒适版国V,拓陆者 2018款 2.8T S系列柴油两驱自动至尊版国V,拓陆者 2018款 2.8T S系列柴油两驱自动精英版国V,拓陆者 2018款 2.8T S系列柴油两驱自动舒适版国V,拓陆者 2018款 2.4L E5 四驱精英型4G69S4M,拓陆者 2018款 2.8T E5 四驱精英型4J28TC4,拓陆者 2018款 2.4L E5 四驱精英型长轴4G69S4M,拓陆者 2018款 2.8T E5 四驱精英型长轴4J28TC4,拓陆者 2018款 2.4L E5 四驱舒适型4G69S4M,拓陆者 2018款 2.8T E5 四驱舒适型4J28TC4,拓陆者 2018款 2.4L E5 四驱舒适型长轴4G69S4M,拓陆者 2018款 2.8T E5 四驱舒适型长轴4J28TC4,拓陆者 2018款 2.4L E5 两驱精英型4G69S4M,拓陆者 2018款 2.8T E5 两驱精英型4J28TC4,拓陆者 2018款 2.4L E5 两驱精英型长轴4G69S4M,拓陆者 2018款 2.8T E5 两驱精英型长轴4J28TC4,拓陆者 2018款 2.4L E5 两驱舒适型4G69S4M,拓陆者 2018款 2.8T E5 两驱舒适型4J28TC4,拓陆者 2018款 2.4L E5 两驱舒适型长轴4G69S4M,拓陆者 2018款 2.8T E5 两驱舒适型长轴4J28TC4,拓陆者 2018款 2.8T E5 四驱豪华型4J28TC4,拓陆者 2018款 2.8T E5 四驱豪华型长轴4J28TC4
厂商指导价(元),15.78万,17.46万,15.28万,16.96万,14.48万,16.08万,13.98万,15.58万,16.76万,16.26万,15.38万,14.88万,14.09万,13.59万,12.71万,12.21万,12.36万,12.06万,10.96万,10.66万,10.86万,10.56万,9.56万,9.26万,12.16万,11.16万,10.36万,9.36万,11.11万,10.61万,9.81万,9.31万,10.68万,9.68万,9.23万,8.23万,9.08万,8.08万,16.82万,16.32万,15.68万,15.73万,15.23万,16.58万,17.08万,17.88万,18.38万,13.71万,13.36万,12.41万,12.06万,13.68万,13.18万,12.38万,11.88万,10.23万,9.73万,8.63万,10.08万,9.58万,8.48万,10.48万,9.98万,8.88万,10.63万,10.13万,9.03万,11.38万,10.88万,9.78万,11.53万,11.03万,9.93万,18.38万,17.88万,15.38万,17.08万,16.58万,14.08万,10.88万,12.73万,11.03万,12.88万,10.18万,11.28万,10.33万,11.43万,9.58万,10.68万,9.73万,10.83万,8.88万,9.98万,9.03万,10.13万,12.43万,12.58万
厂商,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车
级别,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,柴油,柴油
上市时间,2017.01,2017.01,2017.01,2017.01,2017.01,2017.01,2017.01,2017.01,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.02,2017.03,2017.03,2017.03,2017.03,2017.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部纯电续驶里程(km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大功率(kW)_x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩(N·m)_x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,2.4L 136马力 L4,2.0T 201马力 L4,2.4L 136马力 L4,2.0T 201马力 L4,2.4L 136马力 L4,2.0T 201马力 L4,2.4L 136马力 L4,2.0T 201马力 L4,2.0T 201马力 L4,2.0T 201马力 L4,2.0T 201马力 L4,2.0T 201马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.8T 177马力 L4,2.8T 177马力 L4,2.8T 177马力 L4,2.8T 177马力 L4,2.8T 177马力 L4,2.8T 177马力 L4,2.8T 177马力 L4,2.8T 177马力 L4,2.8T 177马力 L4,2.8T 177马力 L4,2.8T 177马力 L4,2.8T 177马力 L4,2.8T 177马力 L4,2.8T 143马力 L4,2.8T 143马力 L4,2.8T 143马力 L4,2.8T 143马力 L4,2.8T 116马力 L4,2.8T 116马力 L4,2.8T 116马力 L4,2.8T 116马力 L4,2.8T 116马力 L4,2.8T 116马力 L4,2.8T 116马力 L4,2.8T 116马力 L4,2.8T 116马力 L4,2.8T 116马力 L4,2.8T 116马力 L4,2.8T 116马力 L4,2.8T 116马力 L4,2.8T 116马力 L4,2.8T 116马力 L4,2.8T 116马力 L4,2.8T 116马力 L4,2.8T 116马力 L4,2.8T 177马力 L4,2.8T 177马力 L4,2.8T 177马力 L4,2.8T 177马力 L4,2.8T 177马力 L4,2.8T 177马力 L4,2.4L 136马力 L4,2.8T 116马力 L4,2.4L 136马力 L4,2.8T 116马力 L4,2.4L 136马力 L4,2.8T 116马力 L4,2.4L 136马力 L4,2.8T 116马力 L4,2.4L 136马力 L4,2.8T 116马力 L4,2.4L 136马力 L4,2.8T 116马力 L4,2.4L 136马力 L4,2.8T 116马力 L4,2.4L 136马力 L4,2.8T 116马力 L4,2.8T 116马力 L4,2.8T 116马力 L4
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,6挡自动,6挡自动,6挡自动,6挡自动,5挡手动,5挡手动,5挡手动,5挡手动,6挡手动,6挡手动,6挡手动,6挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,6挡自动,6挡自动,6挡自动,6挡自动,6挡自动,6挡自动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
长*宽*高(mm),5310×1880×1870,5310×1880×1870,5310×1880×1870,5310×1880×1870,5310×1880×1870,5310×1880×1870,5310×1880×1870,5310×1880×1870,5310×1880×1870,5310×1880×1870,5310×1880×1870,5310×1880×1870,5310×1860×1860,5310×1860×1860,5310×1860×1860,5310×1860×1860,5310×1880×1860,5310×1880×1860,5310×1880×1860,5310×1880×1860,5310×1880×1860,5310×1880×1860,5310×1880×1860,5310×1880×1860,5310×1860×1860,5310×1860×1860,5320×1860×1790,5320×1860×1790,5603×1860×1860,5603×1860×1860,5603×1860×1860,5603×1860×1860,5310×1860×1860,5310×1860×1860,5613×1860×1790,5613×1860×1790,5320×1860×1790,5320×1860×1790,5310×1880×1860,5310×1880×1860,5310×1880×1860,5310×1880×1860,5310×1880×1860,5310×1880×1870,5310×1880×1870,5310×1880×1870,5310×1880×1870,5310×1880×1860,5310×1880×1860,5310×1880×1860,5310×1880×1860,5310×1860×1860,5310×1860×1860,5310×1860×1860,5310×1860×1860,5603×1860×1790,5603×1860×1790,5603×1860×1790,5310×1860×1790,5310×1860×1790,5310×1860×1790,5310×1860×1860,5310×1860×1860,5310×1860×1860,5603×1860×1860,5603×1860×1860,5603×1860×1860,5310×1880×1860,5310×1880×1860,5310×1880×1860,5603×1860×1860,5603×1860×1860,5603×1860×1860,5310×1880×1870,5310×1880×1870,5310×1880×1870,5310×1880×1870,5310×1880×1870,5310×1880×1870,5310×1880×1860,5310×1880×1860,5603×1880×1860,5603×1880×1860,5310×1880×1860,5310×1880×1860,5603×1880×1860,5603×1880×1860,5310×1880×1860,5310×1880×1860,5603×1880×1860,5603×1880×1860,5310×1880×1860,5310×1880×1860,5603×1880×1860,5603×1880×1860,5310×1880×1860,5603×1880×1860
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
最高车速(km/h),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,158,158,158,153,153,155,155,155,155,153,153,153,153,145,145,145,145,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,-,-
工信部综合油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.8,8.5,10.8,8.5,10.8,8.5,10.8,8.5,10.8,8.5,10.8,8.5,10.8,8.5,10.8,8.5,-,-
整车质保,待查,待查,待查,待查,待查,待查,待查,待查,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5320,5320,5603,5603,5603,5603,5310,5310,5613,5613,5320,5320,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5603,5603,5603,5310,5310,5310,5310,5310,5310,5603,5603,5603,5310,5310,5310,5603,5603,5603,5310,5310,5310,5310,5310,5310,5310,5310,5603,5603,5310,5310,5603,5603,5310,5310,5603,5603,5310,5310,5603,5603,5310,5603
宽度(mm),1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1860,1860,1860,1860,1880,1880,1880,1880,1880,1880,1880,1880,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1880,1880,1880,1860,1860,1860,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880
