,1004693,1004734,1004735,1004736,1004737,1004738,1004739,1004740,1004741,1004743,1004744,1004745,1004746,1004747,1004749,1004751,1004752,1004753,1004754,1004755,1004757,1004759,1004760,1004761,1004762,1004763,1004765,1004767,1004768,1004769,1004770,1004771,1004772,1004773,1004774,1004775,1004777,1004779,1004780,1004781,1004782,1004783,1004785,1004787,1004788,1004789,1004790,1004791,1004792,1004793,1004794,1004795,1004797,1004799,1004800,1004801,1004802,1004804,1005504,1005505,1005506,1005507,1005508,1005509,1005510,1005511,1005512,1005513,1005514,1005515,1005516,1005517,1005518,1005519,1005520,1005521,1005522,1005523,1005524,1005525,1005526,1005527,1005528,1005529,1005530,1005531,1005532,1005533,1005534,1005535,1005536,1005537,1005538,1005539,1005540,1005541
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗防夹手功能,●,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●
防紫外线/隔热玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后视镜加热,●,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●
内/外后视镜自动防眩目,内●&nbsp;/&nbsp;外-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,内●&nbsp;/&nbsp;外-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-
后视镜电动折叠,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●
后视镜记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●
空调控制方式,自动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,自动●,自动●,自动●,自动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,手动●,手动●,自动●,自动●,自动●,自动●,自动●,自动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,自动●,自动●,自动●,自动●,手动●,手动●,手动●,手动●,手动●,手动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后座出风口,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内空气调节/花粉过滤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,上汽大通T60 2017款 2.8T柴油自动四驱高底盘旗舰型小双排国V,上汽大通T60 2017款 2.8T柴油手动两驱低底盘舒适型小双排国V,上汽大通T60 2017款 2.8T柴油手动两驱低底盘舒适型小双排国IV,上汽大通T60 2017款 2.8T柴油手动两驱低底盘舒适型大双排国V,上汽大通T60 2017款 2.8T柴油手动两驱低底盘舒适型大双排国IV,上汽大通T60 2017款 2.8T柴油手动两驱低底盘舒享型小双排国V,上汽大通T60 2017款 2.8T柴油手动两驱低底盘舒享型小双排国IV,上汽大通T60 2017款 2.8T柴油手动两驱低底盘舒享型大双排国V,上汽大通T60 2017款 2.8T柴油手动两驱低底盘舒享型大双排国IV,上汽大通T60 2017款 2.8T柴油手动两驱低底盘精英型小双排国V,上汽大通T60 2017款 2.8T柴油手动两驱低底盘精英型小双排国IV,上汽大通T60 2017款 2.8T柴油手动两驱低底盘精英型大双排国V,上汽大通T60 2017款 2.8T柴油手动两驱低底盘精英型大双排国IV,上汽大通T60 2017款 2.8T柴油自动两驱高底盘舒适型小双排国V,上汽大通T60 2017款 2.8T柴油自动两驱高底盘舒适型大双排国V,上汽大通T60 2017款 2.8T柴油手动两驱高底盘舒适型小双排国V,上汽大通T60 2017款 2.8T柴油手动两驱高底盘舒适型小双排国IV,上汽大通T60 2017款 2.8T柴油手动两驱高底盘舒适型大双排国V,上汽大通T60 2017款 2.8T柴油手动两驱高底盘舒适型大双排国IV,上汽大通T60 2017款 2.8T柴油自动两驱高底盘舒享型小双排国V,上汽大通T60 2017款 2.8T柴油自动两驱高底盘舒享型大双排国V,上汽大通T60 2017款 2.8T柴油手动两驱高底盘舒享型小双排国V,上汽大通T60 2017款 2.8T柴油手动两驱高底盘舒享型小双排国IV,上汽大通T60 2017款 2.8T柴油手动两驱高底盘舒享型大双排国V,上汽大通T60 2017款 2.8T柴油手动两驱高底盘舒享型大双排国IV,上汽大通T60 2017款 2.8T柴油自动两驱高底盘精英型小双排国V,上汽大通T60 2017款 2.8T柴油自动两驱高底盘精英型大双排国V,上汽大通T60 2017款 2.8T柴油手动两驱高底盘精英型小双排国V,上汽大通T60 2017款 2.8T柴油手动两驱高底盘精英型小双排国IV,上汽大通T60 2017款 2.8T柴油手动两驱高底盘精英型大双排国V,上汽大通T60 2017款 2.8T柴油手动两驱高底盘精英型大双排国IV,上汽大通T60 2017款 2.8T柴油自动两驱高底盘豪华型小双排国V,上汽大通T60 2017款 2.8T柴油自动两驱高底盘豪华型大双排国V,上汽大通T60 2017款 2.8T柴油手动两驱高底盘豪华型小双排国V,上汽大通T60 2017款 2.8T柴油手动两驱高底盘豪华型大双排国V,上汽大通T60 2017款 2.8T柴油自动四驱高底盘舒适型小双排国V,上汽大通T60 2017款 2.8T柴油自动四驱高底盘舒适型大双排国V,上汽大通T60 2017款 2.8T柴油手动四驱高底盘舒适型小双排国V,上汽大通T60 2017款 2.8T柴油手动四驱高底盘舒适型小双排国IV,上汽大通T60 2017款 2.8T柴油手动四驱高底盘舒适型大双排国V,上汽大通T60 2017款 2.8T柴油手动四驱高底盘舒适型大双排国IV,上汽大通T60 2017款 2.8T柴油自动四驱高底盘舒享型小双排国V,上汽大通T60 2017款 2.8T柴油自动四驱高底盘舒享型大双排国V,上汽大通T60 2017款 2.8T柴油手动四驱高底盘舒享型小双排国V,上汽大通T60 2017款 2.8T柴油手动四驱高底盘舒享型小双排国IV,上汽大通T60 2017款 2.8T柴油手动四驱高底盘舒享型大双排国V,上汽大通T60 2017款 2.8T柴油手动四驱高底盘舒享型大双排国IV,上汽大通T60 2017款 2.8T柴油手动四驱高底盘精英型小双排国V,上汽大通T60 2017款 2.8T柴油手动四驱高底盘精英型小双排国IV,上汽大通T60 2017款 2.8T柴油手动四驱高底盘精英型大双排国V,上汽大通T60 2017款 2.8T柴油手动四驱高底盘精英型大双排国IV,上汽大通T60 2017款 2.8T柴油自动四驱高底盘精英型小双排国V,上汽大通T60 2017款 2.8T柴油自动四驱高底盘精英型大双排国V,上汽大通T60 2017款 2.8T柴油手动四驱高底盘豪华型小双排国V,上汽大通T60 2017款 2.8T柴油手动四驱高底盘豪华型大双排国V,上汽大通T60 2017款 2.8T柴油自动四驱高底盘豪华型小双排国V,上汽大通T60 2017款 2.8T柴油自动四驱高底盘豪华型大双排国V,上汽大通T60 2017款 2.8T柴油自动四驱高底盘旗舰型大双排国V,上汽大通T60 2017款 2.4L汽油手动两驱低底盘舒适型小双排,上汽大通T60 2017款 2.4L汽油手动两驱低底盘舒适型大双排,上汽大通T60 2017款 2.0T汽油自动两驱高底盘精英型小双排,上汽大通T60 2017款 2.0T汽油自动两驱高底盘精英型大双排,上汽大通T60 2017款 2.0T汽油手动两驱高底盘精英型小双排,上汽大通T60 2017款 2.0T汽油手动两驱高底盘精英型大双排,上汽大通T60 2017款 2.4L汽油手动两驱高底盘精英型小双排,上汽大通T60 2017款 2.4L汽油手动两驱高底盘精英型大双排,上汽大通T60 2017款 2.0T汽油自动两驱高底盘舒享型小双排,上汽大通T60 2017款 2.0T汽油自动两驱高底盘舒享型大双排,上汽大通T60 2017款 2.4L汽油手动两驱高底盘舒享型小双排,上汽大通T60 2017款 2.4L汽油手动两驱高底盘舒享型大双排,上汽大通T60 2017款 2.4L汽油手动两驱高底盘舒适型小双排,上汽大通T60 2017款 2.4L汽油手动两驱高底盘舒适型大双排,上汽大通T60 2017款 2.4L汽油手动两驱低底盘舒享型小双排,上汽大通T60 2017款 2.4L汽油手动两驱低底盘舒享型大双排,上汽大通T60 2017款 2.0T汽油自动两驱高底盘豪华型小双排,上汽大通T60 2017款 2.0T汽油自动两驱高底盘豪华型大双排,上汽大通T60 2017款 2.0T汽油手动两驱高底盘豪华型小双排,上汽大通T60 2017款 2.0T汽油手动两驱高底盘豪华型大双排,上汽大通T60 2017款 2.0T汽油自动四驱高底盘舒享型小双排,上汽大通T60 2017款 2.0T汽油自动四驱高底盘舒享型大双排,上汽大通T60 2017款 2.4L汽油手动四驱高底盘舒享型小双排,上汽大通T60 2017款 2.4L汽油手动四驱高底盘舒享型大双排,上汽大通T60 2017款 2.4L汽油手动四驱高底盘舒适型小双排,上汽大通T60 2017款 2.4L汽油手动四驱高底盘舒适型大双排,上汽大通T60 2017款 2.0T汽油自动四驱高底盘精英型小双排,上汽大通T60 2017款 2.0T汽油自动四驱高底盘精英型大双排,上汽大通T60 2017款 2.0T汽油手动四驱高底盘精英型小双排,上汽大通T60 2017款 2.0T汽油手动四驱高底盘精英型大双排,上汽大通T60 2017款 2.4L汽油手动四驱高底盘精英型小双排,上汽大通T60 2017款 2.4L汽油手动四驱高底盘精英型大双排,上汽大通T60 2017款 2.0T汽油自动四驱高底盘豪华型小双排,上汽大通T60 2017款 2.0T汽油自动四驱高底盘豪华型大双排,上汽大通T60 2017款 2.0T汽油手动四驱高底盘豪华型小双排,上汽大通T60 2017款 2.0T汽油手动四驱高底盘豪华型大双排,上汽大通T60 2017款 2.0T汽油自动四驱高底盘旗舰型小双排,上汽大通T60 2017款 2.0T汽油自动四驱高底盘旗舰型大双排
厂商指导价(元),19.98万,9.98万,9.18万,10.58万,9.78万,10.88万,10.08万,11.18万,10.38万,11.68万,10.88万,11.98万,11.18万,12.38万,12.58万,11.18万,10.38万,11.38万,10.58万,12.98万,13.18万,11.78万,10.98万,11.98万,11.18万,13.98万,14.18万,12.78万,11.98万,12.98万,12.18万,15.98万,16.18万,14.78万,14.98万,13.78万,13.98万,12.38万,11.58万,12.58万,11.78万,14.38万,14.58万,12.98万,12.18万,13.18万,12.38万,13.98万,13.18万,14.18万,13.38万,15.38万,15.58万,16.38万,16.58万,17.78万,17.98万,20.18万,8.38万,8.58万,14.58万,14.78万,13.08万,13.28万,10.78万,10.98万,13.78万,13.98万,9.78万,9.98万,9.18万,9.38万,8.98万,9.18万,16.68万,16.88万,15.18万,15.38万,15.18万,15.38万,10.98万,11.18万,10.38万,10.58万,15.98万,16.18万,14.28万,14.48万,11.98万,12.18万,18.48万,18.68万,16.78万,16.98万,21.18万,21.38万
厂商,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通
级别,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
能源类型,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
上市时间,2016.11,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.12,2016.11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大功率(kW)_x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩(N·m)_x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,2.8T 150马力 L4,2.8T 150马力 L4,2.8T 136马力 L4,2.8T 150马力 L4,2.8T 136马力 L4,2.8T 150马力 L4,2.8T 136马力 L4,2.8T 150马力 L4,2.8T 136马力 L4,2.8T 150马力 L4,2.8T 136马力 L4,2.8T 150马力 L4,2.8T 136马力 L4,2.8T 150马力 L4,2.8T 150马力 L4,2.8T 150马力 L4,2.8T 136马力 L4,2.8T 150马力 L4,2.8T 136马力 L4,2.8T 150马力 L4,2.8T 150马力 L4,2.8T 150马力 L4,2.8T 136马力 L4,2.8T 150马力 L4,2.8T 136马力 L4,2.8T 150马力 L4,2.8T 150马力 L4,2.8T 150马力 L4,2.8T 136马力 L4,2.8T 150马力 L4,2.8T 136马力 L4,2.8T 150马力 L4,2.8T 150马力 L4,2.8T 150马力 L4,2.8T 150马力 L4,2.8T 150马力 L4,2.8T 150马力 L4,2.8T 150马力 L4,2.8T 136马力 L4,2.8T 150马力 L4,2.8T 136马力 L4,2.8T 150马力 L4,2.8T 150马力 L4,2.8T 150马力 L4,2.8T 136马力 L4,2.8T 150马力 L4,2.8T 136马力 L4,2.8T 150马力 L4,2.8T 136马力 L4,2.8T 150马力 L4,2.8T 136马力 L4,2.8T 150马力 L4,2.8T 150马力 L4,2.8T 150马力 L4,2.8T 150马力 L4,2.8T 150马力 L4,2.8T 150马力 L4,2.8T 150马力 L4,2.4L 143马力 L4,2.4L 143马力 L4,2.0T 224马力 L4,2.0T 224马力 L4,2.0T 224马力 L4,2.0T 224马力 L4,2.4L 143马力 L4,2.4L 143马力 L4,2.0T 224马力 L4,2.0T 224马力 L4,2.4L 143马力 L4,2.4L 143马力 L4,2.4L 143马力 L4,2.4L 143马力 L4,2.4L 143马力 L4,2.4L 143马力 L4,2.0T 224马力 L4,2.0T 224马力 L4,2.0T 224马力 L4,2.0T 224马力 L4,2.0T 224马力 L4,2.0T 224马力 L4,2.4L 143马力 L4,2.4L 143马力 L4,2.4L 143马力 L4,2.4L 143马力 L4,2.0T 224马力 L4,2.0T 224马力 L4,2.0T 224马力 L4,2.0T 224马力 L4,2.4L 143马力 L4,2.4L 143马力 L4,2.0T 224马力 L4,2.0T 224马力 L4,2.0T 224马力 L4,2.0T 224马力 L4,2.0T 224马力 L4,2.0T 224马力 L4
