Feature,1012647,1012648,1012649,1012650,1012651,1012652,1012653,1012654,1012655,1012656,1012657,1012658,1012659,1012660,1012661,1012662,1012663,1012664,1012665,1012666,1014832,1014833,1015000,1015001,1015002,1015003,1015004,1015005,1015006,1015007,1015008,1015009,1015010,1015011,1015012,1015013,1015014,1015015,1015016,1015017
变速箱,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动
发动机电子防盗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机型号,JX4G18A6L,JX4G18A6L,JX4G18A6L,JX4G18A6L,JX4G18A6L,JX4G18A6L,JX4G18A6L,JX4G18A6L,JX4G18A6L,JX4G18A6L,JX4D25A6L,JX4D25A6L,JX4D25A6L,JX4D25A6L,JX4D25A6L,JX4D25A6L,JX4D25A6L,JX4D25A6L,JX4D25A6L,JX4D25A6L,JX4D25A6L,JX4D25A6L,JX4D25A6L,JX4D25A6L,JX4D25A6L,JX4D25A6L,JX4D25A6L,JX4D25A6L,JX4D25A6L,JX4D25A6L,JX4G18A6L,JX4G18A6L,JX4G18A6L,JX4G18A6L,JX4G18A6L,JX4G18A6L,JX4G18A6L,JX4G18A6L,JX4G18A6L,JX4G18A6L
发动机,1.8T 177马力 L4,1.8T 177马力 L4,1.8T 177马力 L4,1.8T 177马力 L4,1.8T 177马力 L4,1.8T 177马力 L4,1.8T 177马力 L4,1.8T 177马力 L4,1.8T 177马力 L4,1.8T 177马力 L4,2.5T 140马力 L4,2.5T 140马力 L4,2.5T 140马力 L4,2.5T 140马力 L4,2.5T 140马力 L4,2.5T 140马力 L4,2.5T 140马力 L4,2.5T 140马力 L4,2.5T 140马力 L4,2.5T 140马力 L4,2.5T 140马力 L4,2.5T 140马力 L4,2.5T 140马力 L4,2.5T 140马力 L4,2.5T 140马力 L4,2.5T 140马力 L4,2.5T 140马力 L4,2.5T 140马力 L4,2.5T 140马力 L4,2.5T 140马力 L4,1.8T 177马力 L4,1.8T 177马力 L4,1.8T 177马力 L4,1.8T 177马力 L4,1.8T 177马力 L4,1.8T 177马力 L4,1.8T 177马力 L4,1.8T 177马力 L4,1.8T 177马力 L4,1.8T 177马力 L4
压缩比,9.48,9.48,9.48,9.48,9.48,9.48,9.48,9.48,9.48,9.48,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,9.48,9.48,9.48,9.48,9.48,9.48,9.48,9.48,9.48,9.48
厂商指导价(元),10.58万,10.73万,9.78万,9.93万,10.03万,9.28万,9.43万,8.48万,8.63万,8.73万,10.98万,11.13万,10.18万,10.33万,10.43万,9.68万,9.83万,8.88万,9.03万,9.13万,8.68万,8.98万,10.28万,9.48万,9.98万,10.78万,8.83万,9.63万,10.13万,10.93万,8.28万,9.08万,9.58万,10.38万,8.43万,9.23万,9.73万,10.53万,8.58万,9.88万
厂商,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车
卫星导航系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
助力类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
副座椅调节方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前轮距(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前轮胎规格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前排座椅功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前悬架类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前制动器类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排侧气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后中央扶手,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
刹车辅助(EBA/BAS/BA等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
内后视镜功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
全液晶仪表盘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
主座椅调节方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
主动刹车/主动安全系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主/副驾驶座电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○
中控彩色屏幕,,,-,-,-,,,-,-,-,,,-,-,-,,,-,-,-,,,,,,,,,,,,,,,,,,,,
中控屏幕尺寸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
上市时间,2021.11,2021.11,2021.11,2021.11,2021.11,2021.11,2021.11,2021.11,2021.11,2021.11,2021.11,2021.11,2021.11,2021.11,2021.11,2021.11,2021.11,2021.11,2021.11,2021.11,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01
上坡辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
USB/Type-C接口数量,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OTA升级,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LED日间行车灯,●,●,-,-,-,●,●,-,-,-,●,●,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ISOFIX儿童座椅接口,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
