Feature,63589,63590,63591,63592,63593,63594,63595,63596,63597,66215,66216,66217,66218,66219,66654,66655,68013,68014,68015,68164,68165,68655,68710,68711,68884,68885,69653,69654,69655,69656,69657,69658,69659,69660
感应后备厢,●,○,○,○,○,●,●,●,●,-,-,-,●,●,●,●,○,○,●,●,●,●,-,-,●,●,○,○,○,○,●,●,●,●
快充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
快充功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,47.5,47.5,47.5,33.4,33.4,33.4,47.5,33.4,33.4,47.5,-,-,-,-,-,-,-,-,-,-
座椅材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
座椅布局,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
座位数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应用商店,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-
并线辅助,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,○,○,●,●,-,●,-,●,●,●,●,●
巡航系统,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
导航路况信息显示,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,-,●,●,●,●,●
对外放电,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
对外交流放电功率(kW),6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6
宽度(mm),2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提醒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天窗类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
多媒体/充电接口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
备胎规格,,,,,,,,,,,,,,,-,-,,,-,,,-,,,,,,,,,,,,
地图品牌,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-
后雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后轮距(mm),1712,1712,1712,1712,1712,1712,1712,1712,1712,1712,1712,1712,1712,1712,1722,1722,1722,1722,1722,1722,1722,1722,1722,1722,1712,1712,1712,1712,1712,1712,1712,1712,1712,1712
后轮胎规格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后方碰撞预警,●,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●
后排独立空调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后排液晶屏幕,,-,-,-,-,,,,,-,-,-,,,,,-,-,,-,-,,-,-,,,-,-,-,-,-,-,,
后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后排控制多媒体,●,-,-,-,-,○,○,●,●,-,-,-,○,○,●,●,-,-,●,-,-,●,-,-,●,●,-,-,-,-,-,-,●,●
后排座椅放倒形式,-,,,,,,-,,-,,,,,-,-,,,,-,,,,,,,-,,,,,,-,,-
后排小桌板,●,-,-,-,-,○,○,●,●,-,-,-,○,○,-,-,-,-,-,●,●,-,-,-,●,●,-,-,-,-,●,●,-,-
后排多媒体屏幕数量,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,,-,-,,-,-,-,-,-,-,-,-,-,-,,
后排侧隐私玻璃,●,-,-,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,-,●,●,●,●,●
后排侧窗遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,,,,,-,-,-,-,-,-,-,-,,,,
后悬架类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后备厢容积(L),1010.5-2179,1010.5-2179,1010.5-2179,1010.5-2179,1010.5-2179,1010.5-2179,1010.5-2179,1010.5-2179,1010.5-2179,1010.5-2179,1010.5-2179,1010.5-2179,1010.5-2179,1010.5-2179,1010.5-2179,1010.5-2179,1010.5-2179,1010.5-2179,1010.5-2179,1010.5-2179,1010.5-2179,1010.5-2179,1010.5-2179,1010.5-2179,1010.5-2179,1010.5-2179,1010.5-2179,1010.5-2179,1010.5-2179,1010.5-2179,1010.5-2179,1010.5-2179,1010.5-2179,1010.5-2179
后制动器类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
发动机电子防盗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-
发动机布局,-,-,-,-,-,-,-,-,-,-,-,-,-,-,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,-,-,-,-,-,-,-,-,-,-
发动机型号,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15FKE,15FKE,15FKE,15FKE,15FKE,15FKE,15FKE,15FKE,15FKE,15FKE,-,-,-,-,-,-,-,-,-,-
发动机,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
厂商指导价(元),41.99万,28.99万,26.99万,28.99万,30.99万,33.99万,34.99万,38.99万,39.99万,35.99万,40.99万,38.99万,43.99万,44.99万,35.99万,34.99万,27.99万,26.99万,34.99万,29.99万,30.99万,33.99万,25.99万,26.99万,36.29万,37.29万,26.99万,28.99万,28.99万,30.99万,33.99万,34.99万,38.99万,39.99万
厂商,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通
卫星导航系统,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,-,●,●,●,●,●
助力类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
副驾驶位后排可调节按钮,●,-,-,-,-,●,●,●,●,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,●,●,●,●
副驾娱乐屏尺寸,,-,-,,,,,,,,,,,,,,,,,,,,,,,,-,,-,,,,,
副座椅调节方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前轮距(mm),1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690
前轮胎规格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前电动机最大扭矩(N·m),350,350,350,350,350,350,350,350,350,350,350,350,350,350,390,390,390,390,390,390,390,390,390,390,350,350,350,350,350,350,350,350,350,350
前电动机最大功率(kW),180,180,180,180,180,180,180,180,180,180,180,180,180,180,176,176,176,176,176,176,176,176,176,176,180,180,180,180,180,180,180,180,180,180
前电动机型号,TZ204XS1351,TZ204XS1351,TZ204XS1351,TZ204XS1351,TZ204XS1351,TZ204XS1351,TZ204XS1351,TZ204XS1351,TZ204XS1351,TZ204XS1351,TZ204XS1351,TZ204XS1351,TZ204XS1351,TZ204XS1351,TZ210XY106,TZ210XY106,TZ210XY106,TZ210XY106,TZ210XY106,TZ210XY106,TZ210XY106,TZ210XY106,TZ210XY106,TZ210XY106,TZ204XS1351,TZ204XS1351,TZ204XS1351,TZ204XS1351,TZ204XS1351,TZ204XS1351,TZ204XS1351,TZ204XS1351,TZ204XS1351,TZ204XS1351
前电动机品牌,华域汽车,华域汽车,华域汽车,华域汽车,华域汽车,华域汽车,华域汽车,华域汽车,华域汽车,华域汽车,华域汽车,华域汽车,华域汽车,华域汽车,-,-,-,-,-,-,-,-,-,-,华域汽车,华域汽车,华域汽车,华域汽车,华域汽车,华域汽车,华域汽车,华域汽车,华域汽车,华域汽车
前方碰撞预警,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,○,○,●,●,●,●,●,●,●,●,●,●
前方感知摄像头,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前排座椅功能,,-,-,-,-,-,-,,,-,-,-,,,,,-,-,,,,,-,-,-,-,-,-,-,-,,,,
前排中间气囊,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,-,●,●,●,●,●
前悬架类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前备厢容积(L),55,55,55,55,55,55,55,55,55,55,55,55,55,55,-,-,-,-,-,-,-,-,-,-,55,55,55,55,55,55,55,55,55,55
前制动器类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,-,-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,-,前●&nbsp;/&nbsp;后●,-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
内置行车记录仪,●,-,-,○,○,●,●,●,●,-,-,-,●,●,●,●,○,○,●,●,●,●,-,-,●,●,-,○,-,○,●,●,●,●
内后视镜功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
全液晶仪表盘,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,-,●,●,●,●,●
倒车车侧预警系统,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,○,○,●,●,-,●,-,●,●,●,●,●
侧窗多层隔音玻璃,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
侧滑门形式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
供油方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,-,-,-,-,-,-,-,-,-,-
低速行车警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主座椅调节方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
主动刹车/主动安全系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,○,○,●,●,●,●,●,●,●,●,●,●
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,-,-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,-,主●&nbsp;/&nbsp;副●,-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中控屏幕尺寸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上市时间,2023.06,2023.06,2023.06,2023.06,2023.06,2023.06,2023.06,2023.06,2023.06,2023.12,2023.12,2023.12,2023.12,2023.12,2024.06,2024.06,2024.06,2024.06,2024.06,2024.05,2024.05,2024.06,2024.06,2024.06,2024.06,2024.06,2024.08,2024.08,2024.08,2024.08,2024.08,2024.08,2024.08,2024.08
上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
三电首任车主质保政策,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,-,-,,,,,,,,
三电系统质保,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wi-Fi热点,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●
WLTC综合油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.8,0.8,0.79,1.6,1.65,1.6,0.79,1.65,1.6,0.79,-,-,-,-,-,-,-,-,-,-
WLTC纯电续航里程(km)_y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,170,170,175,90,90,90,175,90,90,175,-,-,-,-,-,-,-,-,-,-
WLTC纯电续航里程(km)_x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,170,170,175,90,90,90,175,90,90,175,-,-,-,-,-,-,-,-,-,-
USB/Type-C最大充电功率,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,-,,,,,
USB/Type-C接口数量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTA升级,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,-,●,●,●,●,●
LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
HUD抬头数字显示,●,-,-,-,-,○,○,●,●,-,-,-,○,○,●,●,-,-,●,-,-,●,-,-,○,○,-,-,-,-,-,-,●,●
HUD抬头尺寸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,,-,-,,-,-,-,-,-,-,-,-,-,-,,
ETC装置,○,○,○,○,○,○,○,○,○,-,-,-,○,○,●,●,●,●,●,●,●,●,●,●,○,○,○,○,○,○,○,○,○,○
DOW开门预警,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,○,○,●,●,-,●,-,●,●,●,●,●
CLTC综合续航(km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,1304,1304,1309,1209,1209,1209,1309,1209,1209,1309,-,-,-,-,-,-,-,-,-,-
CLTC纯电续航里程(km)_y,540,560,480,480,560,560,540,540,540,560,560,560,560,560,220,220,225,115,115,115,225,115,115,225,560,540,480,480,560,560,560,560,540,540
CLTC纯电续航里程(km)_x,540,560,480,480,560,560,540,540,540,560,560,560,560,560,220,220,225,115,115,115,225,115,115,225,560,540,480,480,560,560,560,560,540,540
AR实景导航,●,-,-,-,-,●,●,●,●,-,-,-,●,●,●,●,○,○,●,●,●,●,-,-,●,●,-,○,-,○,●,●,●,●
ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
4G/5G网络,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220V/230V电源,●,-,-,-,-,●,●,●,●,-,-,-,●,●,●,●,-,-,●,●,●,●,-,-,●,●,-,-,-,-,●,●,●,●
