Feature,1016868,1016869,1016870,1016871,1016873,1016874,1016875,1016876,1019125,1019126,1019127,1019128,1019129,1019130,1019145,1019146,1019147,1019148,1019149,1019150,1019151,1019152,1019153,1019154,1019155,1019156,1019157,1019158,1019159,1019160,1019161,1019162,1019163,1019164,1019165,1019166,1019167,1019168,1019169,1019170,1019542,1019543,1019544,1019545,1019546,1019547,1019548,1019549,1019550,1020812,1020814,1020815,1020816,1020817,1020818,1020819,1020820,1020821,1020822,1020823,1020831,1020832,1020833,1020851,1020852
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
离去角(°),27,27,27,27,-,-,-,-,-,-,-,-,-,-,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,-,-,26,26,26,-,-
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,-,-,●,●,●,-,-,●,●,-,-,●,●,●,-,-,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,92号,92号,0号,0号,0号,0号,92号,92号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,92号,92号,92号,92号,92号,92号,92号,92号,0号,0号,0号,0号,0号,92号,92号,92号,92号,0号,0号,0号,0号,0号,92号,92号,92号,92号,0号,0号,0号,0号,0号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,0号,0号,0号,92号,92号
满载最小离地间隙(mm),-,-,-,-,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,,,,,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,
油箱容积(L),80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
毫米波雷达数量,-,,-,,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,,,-,-,-,-,-,-,-
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),160,160,160,160,-,-,-,-,-,-,-,-,-,-,175,175,175,175,175,175,175,175,175,175,175,175,170,170,170,175,175,175,175,175,175,170,170,170,175,175,175,175,175,175,170,175,170,175,175,175,175,175,175,175,175,175,175,175,-,-,175,175,175,-,-
最小转弯半径(m),6.5,6.5,6.5,6.5,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,-,-,6,6,6,-,-
最小离地间隙(mm),255,255,255,255,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),258,258,177,177,177,177,258,258,177,177,177,177,177,177,177,177,177,177,245,245,245,245,245,245,245,245,177,177,177,177,177,245,245,245,245,177,177,177,177,177,245,245,245,245,177,177,177,177,177,245,258,258,258,245,245,258,258,258,245,245,177,177,177,245,245
最大载重质量(kg),495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,-,-,-,-,-,495,495,495,-,-
最大满载质量(kg),3070,3070,3160,3160,-,-,-,-,-,-,-,-,-,-,2930,3020,3020,3020,2815,2915,2915,2915,2720,2830,2720,2830,2825,2930,2930,2825,2935,2720,2830,2720,2830,2825,2930,2930,2825,2935,2720,2830,2720,2830,2825,2830,2930,2825,2935,2830,2915,2915,2915,2915,2915,2915,2915,2915,-,-,3020,3020,3020,-,-
最大扭矩转速(rpm),2000-3000,2000-3000,1500-2400,1500-2400,1500-2400,1500-2400,2000-3000,2000-3000,1500-2400,1500-2400,1500-2400,1500-2400,1500-2400,1500-2400,1500-2400,1500-2400,1500-2400,1500-2400,2000-3000,2000-3000,2000-3000,2000-3000,2000-3500,2000-3500,2000-3000,2000-3000,1400-3000,1400-3000,1400-3000,1500-2400,1500-2400,2000-3500,2000-3500,2000-3000,2000-3000,1400-3000,1400-3000,1400-3000,1500-2400,1500-2400,2000-3000,2000-3000,2000-3000,2000-3000,1500-2400,1500-2400,1500-2400,1500-2400,1500-2400,2000-3000,2000-3000,2000-3000,2000-3000,2000-3000,2000-3000,2000-3000,2000-3000,2000-3000,2000-3000,2000-3000,1500-2400,1500-2400,1500-2400,2000-3000,2000-3000
最大扭矩(N·m)_y,450,450,450,450,450,450,450,450,400,400,400,400,450,450,450,450,450,450,400,400,400,400,400,400,400,400,400,400,400,450,450,400,400,400,400,400,400,400,450,450,400,400,400,400,400,400,400,450,450,400,450,450,450,400,400,450,450,450,400,400,450,450,450,400,400
最大扭矩(N·m)_x,450,450,450,450,450,450,450,450,400,400,400,400,450,450,450,450,450,450,400,400,400,400,400,400,400,400,400,400,400,450,450,400,400,400,400,400,400,400,450,450,400,400,400,400,400,400,400,450,450,400,450,450,450,400,400,450,450,450,400,400,450,450,450,400,400
最大功率转速(rpm),5500,5500,3200,3200,3200,3200,5500,5500,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,5500,5500,5500,5500,5500,5500,5500,5500,3200,3200,3200,3200,3200,5500,5500,5500,5500,3200,3200,3200,3200,3200,5500,5500,5500,5500,3200,3200,3200,3200,3200,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,3200,3200,3200,5500,5500
最大功率(kW)_y,190,190,130,130,130,130,190,190,130,130,130,130,130,130,130,130,130,130,180,180,180,180,180,180,180,180,130,130,130,130,130,180,180,180,180,130,130,130,130,130,180,180,180,180,130,130,130,130,130,180,190,190,190,180,180,190,190,190,180,180,130,130,130,180,180
最大功率(kW)_x,190,190,130,130,130,130,190,190,130,130,130,130,130,130,130,130,130,130,180,180,180,180,180,180,180,180,130,130,130,130,130,180,180,180,180,130,130,130,130,130,180,180,180,180,130,130,130,130,130,180,190,190,190,180,180,190,190,190,180,180,130,130,130,180,180
最大净功率(kW),188,188,128,128,-,-,-,-,128,128,128,128,128,128,128,128,128,128,178,178,178,178,178,178,178,178,128,128,128,128,128,178,178,178,178,128,128,128,128,128,178,178,178,178,128,128,128,128,128,178,-,-,-,-,-,-,-,-,178,178,128,128,128,178,178
无钥匙进入功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
旋转大屏,●,●,●,●,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,-,-,●,●,●,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
方向盘换挡,●,●,●,●,●,●,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,●,-,-,●,●,-,-,-,●,●,-,-,●,●,-,-,-,●,●,-,-,●,●,-,-,-,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,●,○,○,○,-,-,○,○,○,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
整车质保,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
整备质量(kg),2260,2260,2350,2350,-,-,-,-,-,-,-,-,-,-,2110,2200,2200,2200,1995,2095,2095,2095,1900,2010,1900,2010,2005,2110,2110,2005,2115,1900,2010,1900,2010,2005,2110,2110,2005,2115,1900,2010,1900,2010,2005,2010,2110,2005,2115,2010,2095,2095,2095,2095,2095,2095,2095,2095,-,-,2200,2200,2200,-,-
摄像头数量,,,,,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,-,-
接近角(°),32,32,32,32,-,-,-,-,-,-,-,-,-,-,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,-,-,30,30,30,-,-
排量(mL),2261,2261,2296,2296,2297,2297,2298,2298,2296,2296,2296,2296,2296,2296,2296,2296,2296,2296,2261,2261,2261,2261,2261,2261,2261,2261,2296,2296,2296,2296,2296,2261,2261,2261,2261,2296,2296,2296,2296,2296,2261,2261,2261,2261,2296,2296,2296,2296,2296,2261,2296,2296,2296,2261,2261,2296,2296,2296,2296,2296,2296,2296,2296,2296,2296
换挡形式,,,,,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
挡位个数,8,8,8,8,8,8,8,8,6,6,6,6,8,8,8,8,8,8,8,8,8,8,6,6,8,8,6,6,6,8,8,6,6,8,8,6,6,6,8,8,6,6,8,8,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
拖挂钩,-,-,-,-,-,-,-,-,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
扬声器数量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机无线充电功能,,,,,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,,,-,-,-,,,-,-
手机互联/映射,,,,,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手机APP远程功能,,,,,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
感应雨刷功能,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,,,,-,-,,,,,,,,,,
座椅材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
座位数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,●,-,-,-,-,●,-,-
巡航系统,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
导航路况信息显示,●,●,●,●,-,-,-,-,○,○,●,●,○,○,●,●,●,●,●,●,●,●,○,○,○,○,○,○,●,○,○,○,○,○,○,○,○,●,○,○,○,○,○,○,○,○,●,○,○,○,●,●,●,○,○,●,●,●,-,-,●,●,●,-,-
宽度(mm),2055,2055,2055,2055,2055,2055,2055,2055,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提醒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天窗类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
多媒体/充电接口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
备胎规格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地图品牌,,,,,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,-,-,-,-,-,-,-
四驱形式,,,,,,,,,,,,,,,-,,,,-,,,,-,,-,,-,,,-,,-,,-,,-,,,-,,-,,-,,-,,,-,,,,,,,,,,,,,,,,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),1710,1710,1710,1710,1710,1710,1710,1710,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620
后轮胎规格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后方碰撞预警,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,●,-,-,-,-,●,-,-
后排车门开启方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒形式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后悬架类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后座出风口,●,●,●,●,●,●,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,●,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,●,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后备厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后制动器类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手动变速箱(MT),手动变速箱(MT),手自一体变速箱(AT),手自一体变速箱(AT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手自一体变速箱(AT),手自一体变速箱(AT),手动变速箱(MT),手动变速箱(MT),手自一体变速箱(AT),手自一体变速箱(AT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手自一体变速箱(AT),手自一体变速箱(AT),手动变速箱(MT),手动变速箱(MT),手自一体变速箱(AT),手自一体变速箱(AT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),自动变速箱(AT),自动变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),自动变速箱(AT),自动变速箱(AT)
变速箱,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡自动,8挡自动,8挡自动,8挡自动,6挡手动,6挡手动,6挡手动,6挡手动,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,6挡手动,6挡手动,8挡手自一体,8挡手自一体,6挡手动,6挡手动,6挡手动,8挡手自一体,8挡手自一体,6挡手动,6挡手动,8挡手自一体,8挡手自一体,6挡手动,6挡手动,6挡手动,8挡手自一体,8挡手自一体,6挡手动,6挡手动,8挡手自一体,8挡手自一体,6挡手动,6挡手动,6挡手动,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡自动,8挡自动,8挡手自一体,8挡手自一体,8挡手自一体,8挡自动,8挡自动
发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
发动机布局,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置
发动机型号,JX4G23A6L,JX4G23A6L,JX4D23A6L,JX4D23A6L,JX4D23A6L,JX4D23A6L,JX4G23A6L,JX4G23A6L,JX4D23A6L,JX4D23A6L,JX4D23A6L,JX4D23A6L,JX4D23A6L,JX4D23A6L,JX4D23A6L,JX4D23A6L,JX4D23A6L,JX4D23A6L,JX4G23A6L,JX4G23A6L,JX4G23A6L,JX4G23A6L,JX4G23B6L,JX4G23B6L,JX4G23A6L,JX4G23A6L,JX4D23A6L,JX4D23A6L,JX4D23A6L,JX4D23A6L,JX4D23A6L,JX4G23B6L,JX4G23B6L,JX4G23A6L,JX4G23A6L,JX4D23A6L,JX4D23A6L,JX4D23A6L,JX4D23A6L,JX4D23A6L,JX4G23A6L,JX4G23A6L,JX4G23A6L,JX4G23A6L,JX4D23A6L,JX4D23A6L,JX4D23A6L,JX4D23A6L,JX4D23A6L,JX4G23A6L,JX4G23A6L,JX4G23A6L,JX4G23A6L,JX4G23A6L,JX4G23A6L,JX4G23A6L,JX4G23A6L,JX4G23A6L,JX4G23A6L,JX4G23A6L,JX4D23A6L,JX4D23A6L,JX4D23A6L,JX4G23A6L,JX4G23A6L
发动机,2.3T 258马力 L4,2.3T 258马力 L4,2.3T 177马力 L4,2.3T 177马力 L4,2.3T 177马力 L4,2.3T 177马力 L4,2.3T 258马力 L4,2.3T 258马力 L4,2.3T 177马力 L4,2.3T 177马力 L4,2.3T 177马力 L4,2.3T 177马力 L4,2.3T 177马力 L4,2.3T 177马力 L4,2.3T 177马力 L4,2.3T 177马力 L4,2.3T 177马力 L4,2.3T 177马力 L4,2.3T 245马力 L4,2.3T 245马力 L4,2.3T 245马力 L4,2.3T 245马力 L4,2.3T 245马力 L4,2.3T 245马力 L4,2.3T 245马力 L4,2.3T 245马力 L4,2.3T 177马力 L4,2.3T 177马力 L4,2.3T 177马力 L4,2.3T 177马力 L4,2.3T 177马力 L4,2.3T 245马力 L4,2.3T 245马力 L4,2.3T 245马力 L4,2.3T 245马力 L4,2.3T 177马力 L4,2.3T 177马力 L4,2.3T 177马力 L4,2.3T 177马力 L4,2.3T 177马力 L4,2.3T 245马力 L4,2.3T 245马力 L4,2.3T 245马力 L4,2.3T 245马力 L4,2.3T 177马力 L4,2.3T 177马力 L4,2.3T 177马力 L4,2.3T 177马力 L4,2.3T 177马力 L4,2.3T 245马力 L4,2.3T 258马力 L4,2.3T 258马力 L4,2.3T 258马力 L4,2.3T 245马力 L4,2.3T 245马力 L4,2.3T 258马力 L4,2.3T 258马力 L4,2.3T 258马力 L4,2.3T 245马力 L4,2.3T 245马力 L4,2.3T 177马力 L4,2.3T 177马力 L4,2.3T 177马力 L4,2.3T 245马力 L4,2.3T 245马力 L4
